available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,70,26516464,378664,288072,7790,241,3,39,0,282304,15,0,0,40,39.1636,22.1798,89,27.8094,488,72,19854762,119028,214504,2750,184,0,29,0,101032,15,0,0,40,38.8994,21.9615,52,27.8992,367
100,100,70,26518076,367328,287792,7397,318,8,45,0,422296,15,0,0,40,39.2909,22.7527,93,27.8835,635,72,19989136,230828,214732,4846,238,1,45,0,276576,15,0,0,40,39.0707,22.02,100,27.88,475
100,100,70,27232762,375944,290512,7537,7,1,0,0,0,0,0,0,0,0,0,0,28,9,72,19989136,250276,215872,5216,1,0,0,0,0,0,0,0,0,0,0,0,28,8
100,100,70,25283166,328068,269152,6713,71,0,12,0,90152,15,0,0,40,40.3356,22.4286,21,28,138,72,19854762,250848,215968,5199,53,0,13,0,63272,15,0,0,40,39.4198,22.24,25,27.9009,111
100,100,70,25245616,350564,269224,6960,137,1,19,0,184592,15,0,0,40,39.6289,22.6842,38,28,273,72,19989136,249756,215864,5209,105,0,19,0,126056,15,0,0,40,39.4538,22.7812,32,27.8884,215
100,100,70,25084902,358500,269808,7137,201,2,30,0,237136,15,0,0,40,38.9249,22.4107,56,28,399,72,19854762,251472,215312,5159,159,1,34,0,181224,15,0,0,40,38.9187,21.6852,54,27.9469,320
100,100,70,25454394,367068,270216,7328,267,0,49,0,332416,15,0,0,40,38.2559,22.3889,72,28,536,72,19989136,252096,214884,5164,211,1,45,0,227504,15,0,0,40,39.0891,22.0278,72,27.8979,421
100,100,70,25334234,361452,269764,7151,49,0,9,0,61208,15,0,0,40,0,0,10,28,94,72,19854762,246116,215356,5092,36,0,9,0,44968,15,0,0,40,0,0,12,27.9211,76
100,100,70,20823728,297484,234992,5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,19989136,250640,216464,5257,90,0,12,0,93920,15,0,0,40,38.9204,22.3846,26,27.8678,174
100,100,70,22932552,322064,244544,6433,180,0,30,0,210208,15,0,0,40,40.3079,22.5,56,28,359,72,19854762,251212,216548,5228,140,0,32,0,160808,15,0,0,40,38.9985,21.8039,51,27.8968,281
100,100,70,25394314,371436,270144,7283,246,5,42,0,314184,15,0,0,40,38.9954,22.1468,109,28,501,72,19950084,246688,214976,5089,197,1,39,0,212120,15,0,0,40,39.1658,22.3699,73,27.8863,387
100,100,70,25274154,372716,269696,7513,375,0,56,0,479328,15,0,0,40,38.668,22.5714,105,28,755,72,19854762,247416,215332,5067,297,1,60,0,329536,15,0,0,40,37.9411,22.2698,126,27.8934,591
100,100,70,25271150,339300,269620,6754,27,1,4,0,21232,15,0,0,40,0,0,4,28,50,72,19989942,247416,215500,5119,21,1,4,0,30160,14,0,0,0,38.0261,22.4545,11,27.9773,44
100,100,70,25200556,353324,269780,7101,91,2,13,0,124792,15,0,0,40,39.8042,22.7391,23,28,185,72,19853956,247832,215340,5147,72,0,14,0,75328,15,0,0,40,37.8436,22.1786,28,27.9437,142
100,100,70,25181030,357728,268464,7077,226,9,37,0,295864,15,0,0,40,39.8836,22.5775,71,28,455,72,19854762,248340,216656,5192,181,0,35,0,209680,15,0,0,40,39.0529,22.3684,76,27.8972,360
100,100,70,25236604,353772,270288,7224,291,5,66,0,393712,15,0,0,40,40.1154,19.3071,140,28,580,72,19989942,115336,214832,2816,228,1,39,0,129688,15,0,0,40,38.5083,21.5679,81,27.8319,458
100,100,70,25305696,353972,269788,7035,5,0,2,0,14960,0,0,0,0,0,0,4,28,8,72,19989942,113984,215332,2877,2,0,1,0,4136,0,0,0,0,39.3703,22,3,28,6
100,100,70,25242612,330988,270224,6632,69,1,12,0,82216,15,0,0,40,40.6983,22.1,30,28,134,72,19853956,114296,214804,2788,56,0,9,0,32328,15,0,0,40,38.8529,21.5333,15,27.9469,113
100,100,70,25208066,325312,269520,6505,136,0,21,0,137192,15,0,0,40,39.5845,22.4857,35,28,273,72,19989942,114660,215600,2894,106,0,25,0,68912,15,0,0,40,38.1246,18.0208,48,27.892,213
100,100,70,25260636,328532,270384,6607,269,0,41,0,337568,15,0,0,40,39.7607,22.625,88,28,537,72,19989942,113776,214736,2820,209,1,47,0,120656,15,0,0,40,37.8099,15.3488,86,27.9187,418
100,100,70,25293680,345556,270072,6818,333,0,61,0,386240,15,0,0,40,38.9943,22.1786,84,28,666,72,19853956,113828,215048,2934,261,0,63,0,159920,15,0,0,40,37.4469,17.4504,131,27.9042,522
100,100,70,25191544,326828,269548,6458,400,10,73,0,421880,15,0,0,40,38.7248,21.1014,148,28,798,72,19989942,113672,215532,2817,317,3,60,0,173376,15,0,0,40,38.004,18.56,125,27.7984,635
100,100,70,25278660,324876,270188,6432,466,0,78,0,555216,15,0,0,40,38.4385,22.5163,153,28,931,72,19853956,273104,214932,5652,365,1,76,0,488352,15,0,0,40,39.1204,22.2649,151,27.8848,729
