available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,80,1056081567,7783755,11384912,175772,66,2,13,0,75800,15,0,0,40,39.2695,22.6053,38,27.8992,129,81,1066125299,14564075,11415888,291551,61,1,12,0,65488,15,0,0,40,0,0,12,27.9098,122
100,100,80,23264066,380288,251412,7448,130,2,22,0,179696,15,0,0,40,39.1432,22.6591,44,27.814,258,81,23252800,309920,250732,6203,126,8,25,0,123000,15,0,0,40,40.1933,21.0435,46,27.8933,253
100,100,80,23254412,312728,250984,6190,258,4,40,0,313512,15,0,0,40,39.0957,22.7746,71,27.8718,507,81,23253606,322972,252244,6404,241,1,48,0,286680,15,0,0,40,39.0044,20.7303,89,27.9482,483
100,100,80,23237780,136656,249444,3224,408,2,70,0,225416,15,0,0,40,38.7809,20.2636,110,27.9679,810,81,23253606,308048,252284,6128,423,5,77,0,529784,15,0,0,40,39.0939,22.2157,153,27.9193,843
100,100,80,21935208,124696,234936,3287,38,0,10,0,24168,15,0,0,40,37.8089,16.5455,22,28,79,81,23253606,297440,250184,5924,40,0,6,0,47536,15,0,0,40,37.9825,22.9,10,27.9241,79
100,100,80,21673860,124272,234208,3033,96,1,22,0,51768,15,0,0,40,38.1125,18.1702,47,28,202,81,23118426,309920,250912,6183,100,0,16,0,117424,15,0,0,40,39.1026,22.3333,33,27.8806,201
100,100,80,21809040,122876,234552,2986,153,2,21,0,74872,15,0,0,40,38.6673,21.7174,46,28,307,81,23252800,310232,250568,6186,160,2,26,0,190368,15,0,0,40,38.601,22.5577,52,27.8969,320
100,100,80,21872124,124660,234928,2993,210,4,50,0,121768,15,0,0,40,37.6648,16.0978,92,28,420,81,23253606,315744,250192,6296,220,2,40,0,274112,15,0,0,40,39.0529,22.3889,90,27.9408,439
100,100,80,21657338,122724,234368,3013,271,2,78,0,163528,15,0,0,40,37.7685,14.9733,150,28,523,81,23253606,321672,250752,6371,280,0,57,0,327416,15,0,0,40,39.5059,21.813,123,27.9572,561
100,100,80,21930702,123812,235288,3086,20,0,2,0,8272,15,0,0,0,39.3066,22,4,28,42,81,23253606,318084,249832,6246,20,1,5,0,21656,15,0,0,40,0,0,5,27.878,41
