available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,70,4705504,66728,52384,1648,0,0,0,0,0,15,0,0,0,0,0,0,0,0,78,145442361,2063217,1562784,43898,179,0,31,0,239768,15,0,0,40,39.1023,22.4032,62,27.767,352
100,100,70,679930,8008,7500,188,19,0,5,0,16952,15,0,0,40,40.5287,21.6,10,27.45,40,78,26517270,388024,286220,8463,252,0,41,0,350968,15,0,0,40,38.9644,22.378,82,27.814,500
100,100,70,679930,8008,7568,189,17,0,6,0,17360,15,0,0,40,39.5167,21.2727,11,27.6061,33,78,26517270,361140,285732,7635,324,1,55,0,400512,15,0,0,40,38.8724,22.125,112,27.8111,651
100,100,70,679930,8112,7544,190,17,0,6,0,17360,15,0,0,40,39.3448,21.2857,14,27.5588,34,78,26648750,349180,285304,7419,394,0,54,0,492672,15,0,0,40,39.0876,22.6487,111,27.7853,787
100,100,70,589004,6916,6524,170,6,0,2,0,4544,15,0,0,40,0,0,4,27.3571,14,78,26521776,366860,286220,7989,463,0,70,0,573184,15,0,0,40,39.0949,22.5703,128,27.7916,926
100,100,70,634870,7592,7060,171,4,0,2,0,8272,15,0,0,40,37.8404,22,5,27.5,8,78,26518076,371280,285916,8078,536,0,80,0,647008,15,0,0,40,39.1752,22.3951,162,27.7955,1071
100,100,70,679930,8112,7560,190,0,0,0,0,0,15,0,0,0,0,0,0,0,0,78,26517270,357604,285212,7737,15,0,2,0,13280,15,0,0,0,0,0,2,27.6087,23
100,100,70,679930,8008,7532,189,0,0,0,0,0,15,0,0,0,0,0,0,0,0,78,26652450,371020,285684,7610,80,0,12,0,104560,15,0,0,40,37.9651,22.56,25,27.7811,169
100,100,70,679930,8060,7556,190,0,0,0,0,0,15,0,0,0,0,0,0,0,0,78,26518076,377000,285904,7676,152,0,25,0,199408,15,0,0,40,37.8675,22.7069,58,27.8529,306
100,100,70,679930,8060,7528,190,0,0,1,0,4136,15,0,0,40,40.3595,22,3,0,0,78,26517270,377832,285144,7860,228,0,31,0,271704,15,0,0,40,39.4297,22.6094,64,27.795,444
