available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,70,64005859,398037,722620,9709,79,1,14,0,46016,13,0,0,40,39.8452,21.6,30,27.2109,147,72,90103851,1238453,968408,25808,110,2,20,0,108640,15,0,0,40,37.4428,22.15,40,27.8894,226
100,100,70,13337142,89756,157456,2167,32,1,6,0,22832,13,0,0,40,0,0,8,27.7903,62,72,19989942,267904,215280,5521,40,0,8,0,49968,15,0,0,40,0,0,12,27.907,86
100,100,70,13326628,78832,158964,1966,79,5,11,0,36600,12,0,0,40,40.9442,22.2353,17,25.5723,159,72,19853956,272116,214308,5673,92,1,20,0,129256,15,0,0,40,37.0697,21.9535,43,27.8989,188
100,100,70,13326628,140660,147500,3282,173,2,28,0,89776,13,0,0,40,40.1987,21.566,53,27.4909,330,72,19989136,267020,214884,5599,255,3,45,0,291400,15,0,0,40,37.3584,22.4333,90,27.9114,519
100,100,70,13201156,80388,148996,2010,16,0,3,0,9176,13,0,0,40,41.003,22,7,27.6471,34,72,19989942,269516,214000,5557,23,0,6,0,38584,15,0,0,40,39.5391,22.6875,16,27.8868,53
100,100,70,13326628,179868,147400,4054,87,1,19,0,120680,13,0,0,40,39.446,22.2424,33,27.6564,163,72,19989942,277784,213696,5865,130,0,23,0,167144,15,0,0,40,39.8495,22.7234,47,27.9011,263
100,100,70,13337034,177420,151704,4060,0,0,1,0,13536,0,0,0,40,39.1772,23,3,28,4,72,19989136,272896,214204,5741,0,0,1,0,4136,0,0,0,0,41.5599,22,3,28,9
100,100,70,13212476,180396,147184,3995,37,2,7,0,37768,13,0,0,40,40.5889,21.8824,17,26.623,61,72,19854762,273312,214312,5700,40,0,10,0,50936,15,0,0,40,40.3586,21.1071,28,27.8444,90
100,100,70,13326628,178620,147784,4006,71,1,12,0,68320,13,0,0,40,39.8189,22.1111,27,27.2422,128,72,19989136,267852,213368,5595,95,0,17,0,131760,15,0,0,40,40.0377,22.4483,29,27.8737,190
100,100,70,13337142,110156,146716,2650,17,0,2,0,7888,13,0,0,0,0,0,4,27.8462,26,72,19989942,271804,214140,5622,22,0,5,0,33768,15,0,0,40,40.1203,22.4615,13,27.9216,51
100,100,70,13321316,160280,148372,3608,96,2,16,0,55984,13,0,0,40,38.6346,21.8182,33,27.3073,192,72,19989942,261768,214772,5446,130,1,23,0,145240,15,0,0,40,39.9173,21.7895,57,27.9294,269
100,100,70,13326628,79196,148916,1926,14,0,0,0,0,13,0,0,0,0,0,0,27.8182,11,72,19989942,284076,214328,5916,3,0,2,0,17904,0,0,0,0,39.807,23.5,6,28,18
100,100,70,13326628,112580,147424,2592,31,0,6,0,36320,13,0,0,40,38.2198,22.3333,12,26.6852,54,72,19854762,279552,214172,5822,43,0,7,0,58880,15,0,0,40,39.1922,22.8462,13,27.9451,91
100,100,70,13190642,183040,147740,4133,106,4,19,0,61048,13,0,0,40,41.018,22.025,40,27.8469,196,72,19853956,280540,214040,5831,152,0,28,0,179168,15,0,0,40,39.8569,22.4762,42,27.8285,309
100,100,70,13337142,80932,147948,2069,138,2,23,0,76152,13,0,0,40,40.3197,21.9583,48,27.5317,284,72,19989942,280644,213176,5775,199,0,34,0,269968,15,0,0,40,39.5562,22.4923,65,27.8784,403
100,100,70,13326628,79040,149136,1941,24,5,4,0,12160,13,0,0,40,0,0,7,27.9,40,72,19853956,276900,214016,5756,22,0,13,0,26600,15,0,0,40,40.0714,16.1875,32,27.9245,53
100,100,70,13337142,178732,147948,4042,123,0,24,0,154824,13,0,0,40,39.199,22.3725,51,27.626,246,72,19984630,280748,213256,5906,184,0,32,0,238888,15,0,0,40,39.7007,22.3284,67,27.8799,358
100,100,70,13213118,181716,147364,3894,197,1,45,0,257568,13,0,0,40,39.2235,22.1667,96,27.434,394,72,19853956,286520,213352,6130,291,0,51,0,378448,15,0,0,40,39.7753,22.48,100,27.8895,561
100,100,70,13326628,186836,147152,4257,272,3,64,0,370512,13,0,0,40,40.1126,20.5128,117,27.7111,547,72,19853956,283660,213144,5892,396,0,75,0,485568,15,0,0,40,39.7779,22.3643,140,27.8755,779
100,100,70,13201156,183960,146804,4258,5,0,2,0,13280,13,0,0,40,40.2017,22.5,6,0,0,72,19989942,273624,214500,5685,8,0,2,0,10128,0,0,0,0,0,0,4,27.9333,30
100,100,70,15096196,221256,169500,4885,72,0,17,0,100104,13,0,0,40,39.385,22.4595,37,27.65,140,77,19989136,270608,214660,5738,116,1,20,0,139960,15,0,0,40,39.7434,22.122,41,27.5466,236
100,100,70,10018438,137392,117948,3157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,19854762,272740,214304,5753,165,0,26,0,201760,15,0,0,40,40.0791,22.58,50,27.8934,319
