available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,79,47717826,677829,514280,14488,17,0,5,0,14808,15,0,0,40,38.7164,22.1,10,27.4286,35,81,4161294,85044,46896,1802,17,0,7,0,23944,15,0,0,40,36.4468,21.9333,15,27.6176,34
100,100,79,543944,9880,6048,193,0,0,2,0,5040,15,0,0,40,0,0,4,0,0,81,679930,13000,7640,276,18,0,7,0,22088,15,0,0,40,35.9782,21.8462,13,27.4595,37
100,100,79,679930,11700,7580,264,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,679930,13156,7664,256,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,11700,7580,244,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,589004,10868,6532,223,5,0,2,0,4544,15,0,0,40,0,0,2,27.4615,13
100,100,79,679930,11908,7548,239,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,634870,12376,7084,247,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,11908,7564,250,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,679930,13000,7552,257,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,12376,7564,244,17,0,7,0,24552,15,0,0,40,39.1868,22,15,27.6176,34,81,679930,13052,7636,257,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,11180,7568,244,17,0,7,0,19704,15,0,0,40,38.259,21.3846,13,27.5143,35,81,679930,12844,7636,276,18,1,8,0,27584,15,0,0,40,36.3917,21.75,16,27.3514,37
100,100,79,679930,9568,7564,202,17,0,6,0,17360,15,0,0,40,37.2514,21.2857,14,27.6061,33,81,679930,12948,7536,258,18,0,8,0,22992,15,0,0,40,34.865,21.6667,18,27.6471,34
100,100,79,558964,9828,6236,200,2,0,1,0,4136,15,0,0,40,0,0,1,27.75,4,81,679930,12844,7516,259,17,0,8,0,22400,15,0,0,40,34.9349,21.5,16,27.5,36
100,100,79,664910,10556,7396,226,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,679930,13104,7652,269,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,9932,7580,210,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,679930,12584,7652,256,17,0,7,0,21608,15,0,0,40,34.7607,21.6,15,27.6562,32
100,100,79,679930,10400,7580,223,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,543944,10296,6156,225,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,11284,7580,228,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,679930,13156,7556,260,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,11128,7664,240,17,0,7,0,23464,15,0,0,40,37.9171,21.6154,13,27.5429,35,81,679930,13000,7552,259,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,11180,7580,227,17,0,7,0,21128,15,0,0,40,38.7494,21.9333,15,27.6176,34,81,679930,12948,7552,251,6,0,4,0,13312,15,0,0,40,35.5397,22,8,27.5,8
100,100,79,679930,10400,7548,221,17,0,8,0,23248,15,0,0,40,38.7346,21.75,16,27.4286,35,81,679930,13208,7752,269,17,0,7,0,24552,15,0,0,40,36.2745,22.2143,14,27.4242,33
100,100,79,679930,11388,7564,248,17,0,8,0,29152,15,0,0,40,38.2078,21.7143,14,27.5455,33,81,679930,13104,7536,253,18,0,8,0,23376,15,0,0,40,34.9619,21.6667,18,27.6471,34
100,100,79,543944,8736,6064,194,12,0,6,0,17248,15,0,0,40,0,0,8,27.5217,23,81,679930,12896,7592,277,17,0,8,0,29152,15,0,0,40,36.4005,21.8333,18,27.6176,34
100,100,79,679930,11076,7580,223,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,679930,12948,7588,270,0,0,1,0,5992,15,0,0,40,0,0,2,0,0
100,100,79,679930,10972,7564,221,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,649084,11440,7256,231,11,0,4,0,10064,15,0,0,40,34.3865,21.4,10,27.56,25
100,100,79,679930,10712,7580,235,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,574790,11804,6552,236,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,11856,7568,241,0,0,1,0,4776,15,0,0,40,38.4973,24,3,0,0,81,679930,13156,7572,269,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,11440,7564,243,17,0,7,0,18264,15,0,0,40,38.0053,21.3333,15,27.5429,35,81,679930,12792,7636,274,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,12220,7528,238,18,0,7,0,22824,15,0,0,40,37.5689,21.9286,14,27.4167,36,81,679930,13208,7656,269,18,0,7,0,24792,15,0,0,40,34.9552,21.3846,13,27.6471,34
100,100,79,679930,12168,7580,265,17,0,8,0,28544,15,0,0,40,38.2869,21.875,16,27.4706,34,81,679930,13000,7612,260,18,1,7,0,23944,15,0,0,40,36.1514,21.9333,15,27.4865,37
100,100,79,608530,10088,6528,197,6,0,3,0,8680,15,0,0,40,37.7238,21.25,8,27.6,10,81,679930,13000,7668,278,17,0,8,0,28544,15,0,0,40,35.0834,21.5714,14,27.5882,34
100,100,79,615344,11024,7056,231,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,679930,13000,7708,277,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,79,679930,11492,7624,240,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,679930,13156,7568,262,19,1,7,0,24792,15,0,0,40,36.0505,21.5714,14,27.4737,38
100,100,79,679930,11648,7544,223,0,0,0,0,0,15,0,0,0,0,0,0,0,0,81,558964,10400,6224,205,0,0,0,0,0,15,0,0,0,0,0,0,0,3
