available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,70,7289424,98321,81232,2402,0,0,0,0,0,15,0,0,0,0,0,0,0,0,125,32702542,405192,354000,8432,60,0,9,0,65656,15,0,0,40,38.1412,22.4,15,27.95,120
100,100,70,679930,8216,7564,191,11,0,3,0,8680,15,0,0,40,35.1777,21.3333,6,27.6667,21,125,6663314,85072,71688,1674,76,1,12,0,83024,15,0,0,40,38.4289,22.5862,29,27.8808,151
100,100,70,679930,8216,7564,191,17,0,6,0,17360,15,0,0,40,34.8267,21.2308,13,27.5294,34,125,6663314,84292,71428,1671,93,0,13,0,111744,15,0,0,40,38.3191,22.7308,26,27.8691,191
100,100,70,679930,8112,7644,190,19,0,6,0,17856,15,0,0,40,35.9656,21.5385,13,27.5278,36,125,6527328,85800,70784,1748,107,2,15,0,117088,15,0,0,40,38.2707,22.4545,33,27.9028,216
100,100,70,679930,8060,7580,190,17,0,6,0,17360,15,0,0,40,34.7491,21.2308,13,27.4412,34,125,6663314,87464,71592,1767,120,0,18,0,132392,15,0,0,40,37.7913,22.6111,36,27.9167,240
100,100,70,649084,7644,7228,182,12,0,4,0,9088,15,0,0,40,34.1473,21,8,27.6154,26,125,6663314,84084,71792,1728,147,0,23,0,183032,15,0,0,40,37.866,22.6222,45,27.8597,278
100,100,70,574790,6968,6480,160,0,0,0,0,0,15,0,0,0,0,0,0,0,0,125,6663314,86008,71988,1730,15,0,3,0,24704,15,0,0,40,0,0,6,27.9333,30
100,100,70,679930,8008,7660,189,0,0,0,0,0,15,0,0,0,0,0,0,0,0,125,6663314,75868,71500,1544,45,0,5,0,35064,15,0,0,40,0,0,7,27.9091,88
100,100,70,679930,8164,7664,191,0,0,0,0,0,15,0,0,0,0,0,0,0,0,125,6663314,68224,70832,1441,45,0,7,0,45656,15,0,0,40,37.5188,22.4667,15,27.9143,105
100,100,70,679930,8164,7568,191,0,0,0,0,0,15,0,0,0,0,0,0,0,0,125,6527328,73892,70700,1466,60,0,9,0,53736,15,0,0,40,38.3029,22.3333,15,27.8443,122
