available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,70,0,0,28,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,68,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,80,0,4,4,0,0,0,3,0,0,0,0,0,0,0,11,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,4,4,0,0,0,0,0,0,0,0,0,0,0,7
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,4,4,0,0,0,12,0,0,0,0,0,0,0,11
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,4,4,0,0,0,9,0,0,0,0,0,0,0,9
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,80,0,4,4,0,0,0,2,0,0,0,0,0,0,0,10
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,4,4,0,0,0,9,0,0,0,0,0,0,0,11
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,4,4,0,0,0,15,0,0,0,0,0,0,0,11
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,40,0,4,4,0,0,0,15,0,0,0,0,0,0,0,10
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,4,4,0,0,0,5,0,0,0,0,0,0,0,10
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,20,0,4,4,0,0,0,7,0,0,0,0,0,0,0,10
100,100,70,0,0,40,0,4,4,0,0,0,10,0,0,0,0,0,0,0,10,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
