available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,70,518930,8216,7564,191,11,0,3,0,8680,15,0,0,40,35.1777,21.3333,6,27.6667,21
100,100,70,518930,8216,7564,191,17,0,6,0,17360,15,0,0,40,34.8267,21.2308,13,27.5294,34
100,100,70,518930,8112,7644,190,19,0,6,0,17856,15,0,0,40,35.9656,21.5385,13,27.5278,36
100,100,70,518930,8060,7580,190,17,0,6,0,17360,15,0,0,40,34.7491,21.2308,13,27.4412,34
100,100,70,488084,7644,7228,182,12,0,4,0,9088,15,0,0,40,34.1473,21,8,27.6154,26
100,100,70,518930,8060,7580,190,17,0,6,0,17360,15,0,0,40,37.7482,21.4,10,27.5714,35
100,100,70,518930,10192,7568,215,17,0,8,0,22496,15,0,0,40,38.0668,21.5,16,27.1765,34
100,100,70,518930,12844,7564,264,19,0,8,0,22496,15,0,0,40,37.8397,21.3333,18,27.5135,37
100,100,70,518930,12844,7764,264,19,0,8,0,22992,15,0,0,40,38.3156,21.8571,14,27.275,40
100,100,70,518930,12480,7532,256,15,0,8,0,26192,15,0,0,40,38.5503,21.5,16,27.6333,30
100,100,70,518930,13312,7580,270,17,0,7,0,24552,15,0,0,40,38.8102,22.2,15,27.5143,35
100,100,70,518930,12896,7664,255,19,1,8,0,22992,15,0,0,40,37.5634,21.75,16,27.2432,37
100,100,70,518930,13000,7564,275,17,0,8,0,22512,15,0,0,40,37.9537,21.6667,18,27.6176,34
100,100,70,518930,12272,7532,260,12,0,3,0,9272,15,0,0,0,39.4862,22,8,27.1667,24
100,100,70,518930,13000,7668,254,17,0,7,0,24792,15,0,0,40,38.435,21.2857,14,27.5,34
100,100,70,518930,13052,7648,263,18,1,8,0,28192,15,0,0,40,39.3871,21.8333,18,27.6,35
100,100,70,518930,13052,7540,264,18,0,8,0,22992,15,0,0,40,38.2012,21.75,16,27.25,36
100,100,70,518930,12688,7532,257,17,0,8,0,29152,15,0,0,40,37.907,21.6875,16,27.5882,34
100,100,70,518930,13468,7548,262,18,0,7,0,24552,15,0,0,40,39.2335,22.2,15,27.4737,38
100,100,70,518930,13520,7540,265,17,0,8,0,23856,15,0,0,40,38.4379,21.75,16,27.6176,34
100,100,70,518930,13520,7556,261,17,0,7,0,23944,15,0,0,40,39.242,22.0667,15,27.5152,33
100,100,70,518930,13416,7552,257,16,0,8,0,23856,15,0,0,40,38.2007,21.75,16,27.6875,32
100,100,70,518930,13052,7568,270,16,0,6,0,18336,15,0,0,40,38.1908,21.5,12,27.5333,30
100,100,70,518930,13416,7540,258,17,0,8,0,23376,15,0,0,40,38.5577,21.8571,14,27.4118,34
100,100,70,518930,13364,7524,263,19,0,8,0,22880,15,0,0,40,37.5681,21.5,16,27.2162,37
100,100,70,518930,13572,7576,261,18,0,7,0,24552,15,0,0,40,38.9677,22.2,15,27.4167,36
100,100,70,518930,12584,7540,242,18,0,8,0,22016,15,0,0,40,37.5757,21.3333,18,27.5405,37
100,100,70,518930,13312,7556,262,17,0,8,0,23984,15,0,0,40,38.7106,21.9286,14,27.3714,35
100,100,70,518930,12792,7572,260,18,0,7,0,21608,15,0,0,40,38.1269,21.7143,14,27.2353,34
100,100,70,518930,12896,7552,275,18,0,8,0,29152,15,0,0,40,38.318,21.6875,16,27.5556,36
100,100,70,518930,12584,7548,257,18,0,6,0,17952,15,0,0,40,37.982,21.6667,12,27.2,35
100,100,70,518930,13416,7644,258,10,0,5,0,15784,15,0,0,40,39.1454,22.2222,9,27.7,20
100,100,70,518930,13052,7572,253,17,0,8,0,23376,15,0,0,40,38.3472,21.6667,18,27.6176,34
100,100,70,518930,13468,7616,260,18,1,7,0,24552,15,0,0,40,38.8306,22.2,15,27.4571,35
