available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,12864598,162628,140020,4176,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,2039790,24856,22116,703,16,0,4,0,20400,15,0,0,30,0,0,6,27.8125,32
100,100,1992422,23556,21572,603,23,0,4,0,20400,15,0,0,30,0,0,6,27.7925,53
100,100,1951172,26364,21164,658,16,0,5,0,25688,15,0,0,30,104.449,22.25,8,27.7838,37
100,100,2039790,25376,22108,644,31,0,6,0,35216,15,0,0,30,104.433,22.8333,12,27.8028,71
100,100,1992422,24596,21588,646,37,0,8,0,41952,15,0,0,30,104.501,22.25,12,27.7882,85
100,100,1951172,25844,21244,690,38,0,12,0,64160,15,0,0,30,104.509,22.3636,22,27.7297,74
100,100,2039790,25376,22112,623,49,0,11,0,58920,15,0,0,30,104.532,22.5294,17,27.7426,101
100,100,1992422,23660,20728,628,0,0,0,0,0,15,0,0,0,0,0,0,0,2
100,100,1951172,25324,22004,650,15,0,2,0,14816,15,0,0,30,104.281,22.8,5,27.8,30
100,100,2039790,25012,22060,623,19,0,4,0,23088,15,0,0,30,104.411,22.3636,11,27.8095,42
100,100,1903804,23660,20624,629,16,0,4,0,20400,15,0,0,30,104.524,22.2222,9,27.871,31
100,100,2039790,25844,22092,658,32,0,8,0,39776,15,0,0,30,104.533,22.3333,18,27.7188,64
100,100,2019458,24804,21896,654,27,0,6,0,27648,15,0,0,30,104.526,22,15,27.7681,69
100,100,1924136,24856,20828,613,32,0,8,0,41952,15,0,0,30,104.483,22.35,20,27.7121,66
100,100,2039790,25220,22132,686,48,0,12,0,65056,15,0,0,30,104.532,22.6154,26,27.7624,101
100,100,2029972,24804,21868,651,12,0,2,0,12128,15,0,0,30,104.54,23.2,5,27.7857,28
100,100,1913622,24024,20876,627,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,2039790,24648,22188,615,16,0,4,0,20400,15,0,0,30,104.527,22.4444,9,27.75,32
100,100,2019458,23972,21960,672,26,0,5,0,24536,15,0,0,30,104.53,22.4,10,27.8621,58
100,100,1924136,24544,20860,646,19,0,7,0,34616,15,0,0,30,104.536,22,15,27.7368,38
100,100,2039790,24856,22092,620,31,0,6,0,34832,15,0,0,30,104.426,22.3333,15,27.831,71
100,100,1992422,24180,21612,660,40,0,8,0,40928,15,0,0,30,104.506,22.0769,13,27.7471,87
100,100,1951172,25948,21168,736,38,0,15,0,82184,15,0,0,30,104.415,22.3571,28,27.8049,82
100,100,2039790,26208,22116,659,3,0,1,0,4136,15,0,0,0,104.52,22,3,27.2,5
100,100,1992422,23764,21104,596,0,0,0,0,0,15,0,0,0,0,0,0,28,9
100,100,1951172,25012,21620,672,16,0,5,0,30696,15,0,0,30,104.464,22.2,10,27.8065,31
100,100,2039790,25324,22092,677,21,0,6,0,28672,15,0,0,30,104.529,22.4286,14,27.641,39
100,100,1903804,23192,20620,625,16,0,4,0,20400,15,0,0,30,104.533,22.6,10,27.75,40
100,100,2039790,25688,22116,715,32,0,9,0,48792,15,0,0,30,104.539,22.8571,21,27.7681,69
100,100,2039790,25012,22080,701,34,0,10,0,51312,15,0,0,30,104.527,22.1111,18,27.7792,77
100,100,1903804,24284,20648,634,32,0,8,0,39776,15,0,0,30,104.532,22.3529,17,27.6212,66
100,100,2039790,25376,22040,634,46,0,9,0,55080,15,0,0,30,104.455,22.25,24,27.7872,94
100,100,2039790,25064,22072,638,16,0,3,0,16264,15,0,0,30,104.538,22.8571,7,27.7419,31
100,100,1903804,23400,20608,614,6,0,3,0,16264,15,0,0,0,104.531,22.5,8,27.3333,6
100,100,2039790,25116,22076,689,16,0,4,0,21552,15,0,0,30,104.441,22.2857,7,27.7879,33
100,100,2019458,23920,21860,635,26,0,5,0,25688,15,0,0,30,104.464,22.2,10,27.8,60
