available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,32448139,217308,349644,5224,77,1,16,0,58768,15,0,0,30,104.46,22.1429,35,27.8735,166
100,100,3943594,25064,42536,605,86,0,14,0,46560,15,0,0,30,104.451,21.5455,33,27.8086,162
100,100,4079580,25220,42536,555,0,0,0,0,0,15,0,0,0,0,0,0,0,3
100,100,3943594,24700,43724,619,18,0,2,0,7888,15,0,0,30,104.528,22,6,27.9333,30
100,100,3943594,27612,42472,657,30,0,6,0,20000,15,0,0,30,104.442,21.5714,14,27.9,60
100,100,3943594,25064,42352,546,37,0,6,0,24432,15,0,0,30,104.521,22,10,27.9508,61
100,100,4079580,24596,43832,609,55,0,8,0,27520,15,0,0,30,104.516,22.125,16,27.8607,122
100,100,3943594,26520,42440,665,61,0,11,0,41784,15,0,0,30,104.511,21.8261,23,27.872,125
100,100,3943594,25792,42496,590,63,1,11,0,44360,15,0,0,30,104.517,21.6111,18,27.8583,127
100,100,4079580,25948,42704,594,75,0,13,0,49016,15,0,0,30,104.483,21.8077,26,27.8983,177
100,100,3943594,25844,43528,617,7,0,0,0,0,15,0,0,0,0,0,0,27.3333,6
100,100,3943594,26104,42508,584,15,0,2,0,8272,15,0,0,30,104.525,22,4,27.8667,30
100,100,3943594,25324,42520,615,15,0,4,0,14752,15,0,0,30,0,0,4,27.9333,30
100,100,4079580,25428,43776,611,42,0,5,0,17608,15,0,0,30,104.529,20.2,10,27.8837,86
100,100,3943594,27664,42668,629,48,1,8,0,33536,15,0,0,30,104.524,22.1,20,27.8269,104
100,100,3943594,25064,42492,581,51,0,15,0,45880,15,0,0,30,104.491,20.5333,30,27.9,100
100,100,4079580,25688,43740,598,70,0,11,0,36264,15,0,0,30,104.47,21.25,28,27.9048,168
100,100,3943594,25428,42320,592,74,0,11,0,39272,15,0,0,30,104.499,21.6071,28,27.8304,171
100,100,3943594,25584,42428,605,93,2,21,0,72392,15,0,0,30,104.478,21.8043,46,27.8674,181
100,100,4079580,26312,42720,611,0,0,2,0,8272,15,0,0,30,104.519,22,5,28,6
100,100,3943594,27300,43620,615,31,1,4,0,15520,15,0,0,30,104.524,21.4,10,27.9104,67
100,100,3943594,25324,42436,603,30,0,6,0,25136,15,0,0,30,104.519,22.4667,15,27.9437,71
100,100,3943594,23972,42380,542,42,1,7,0,25528,15,0,0,30,104.498,21.75,16,27.75,72
100,100,4079580,25168,43828,581,57,0,10,0,29904,15,0,0,30,104.492,22.15,20,26.8182,132
100,100,3943594,25220,42348,602,61,0,14,0,42048,15,0,0,30,104.483,21.8077,26,27.8211,123
100,100,3943594,26624,42628,627,78,2,14,0,51920,15,0,0,30,104.508,22.3462,26,27.781,137
100,100,4079580,25844,43088,639,77,0,12,0,43648,15,0,0,30,104.523,21.2273,22,27.8953,172
100,100,3943594,25116,43232,604,15,0,2,0,4544,0,0,0,30,0,0,2,27.9583,24
100,100,3943594,25012,42476,619,16,1,4,0,15776,15,0,0,30,104.523,22,10,26.9697,33
100,100,4079580,24752,42552,581,24,0,4,0,15520,15,0,0,30,104.526,21,9,27.8718,39
100,100,3943594,24440,43616,555,45,0,4,0,15776,15,0,0,30,104.525,22,7,27.9022,92
100,100,3943594,26728,42444,603,46,0,7,0,30872,15,0,0,30,104.535,22.2727,11,27.837,92
100,100,3943594,26468,42360,618,60,0,11,0,47000,15,0,0,30,104.529,22.5,22,27.8878,107
100,100,4079580,25636,43860,596,77,1,9,0,35656,15,0,0,30,104.485,22.25,16,27.9091,154
100,100,3943594,26936,42392,598,77,0,12,0,46592,15,0,0,30,104.514,22.1481,27,27.7303,152
100,100,3943594,26052,42536,663,0,0,1,0,5992,0,0,0,0,104.558,23,3,0,0
100,100,4079580,24232,42892,532,9,0,2,0,7888,15,0,0,30,0,0,2,27.8,20
100,100,3943594,26000,43208,643,30,0,3,0,12024,15,0,0,30,104.524,22,9,27.9344,61
100,100,3943594,25740,42356,628,30,0,6,0,21360,15,0,0,30,104.526,20.6364,11,27.9091,66
100,100,3999168,26104,42476,628,46,0,7,0,29016,15,0,0,30,104.535,21.5882,17,27.8269,104
100,100,4024006,25948,43900,610,57,0,9,0,35560,15,0,0,30,104.517,22.3333,18,27.9672,122
100,100,3943594,26676,42372,613,62,1,15,0,44408,15,0,0,30,104.466,21.8519,27,27.8686,137
100,100,3943594,26156,42372,638,76,0,17,0,56712,15,0,0,30,104.491,22.1333,30,27.8808,151
100,100,4079580,26312,43152,578,79,1,12,0,46144,15,0,0,30,104.524,21.44,25,27.8982,167
100,100,3943594,27820,43228,609,14,0,1,0,4136,15,0,0,30,0,0,1,27.9655,29
100,100,3943594,25688,42508,617,15,0,4,0,13152,15,0,0,30,0,0,4,27.8125,32
100,100,4079580,25376,43164,605,30,0,5,0,20296,15,0,0,30,104.535,21,12,27.9054,74
100,100,3943594,26728,43064,662,45,0,8,0,29920,15,0,0,30,104.519,22.5333,15,27.8737,95
100,100,3943594,26624,42448,606,53,0,8,0,31808,15,0,0,30,104.506,22.1667,18,27.8246,114
100,100,3943594,25480,42324,607,61,0,13,0,47496,15,0,0,30,104.486,21.7586,29,27.8971,136
100,100,4079580,25324,43752,608,68,0,11,0,31128,15,0,0,30,104.427,21.5556,27,27.8683,167
100,100,3943594,26624,42392,617,91,1,14,0,50576,15,0,0,30,104.507,21.8571,28,27.8284,169
100,100,3943594,25844,42528,613,1,0,1,0,3752,15,0,0,0,0,0,1,0,0
100,100,4079580,25376,43104,636,18,0,4,0,10112,15,0,0,30,104.468,22.8333,6,27.8182,33
100,100,3943594,26728,43244,688,30,0,4,0,16736,15,0,0,30,0,0,6,27.9333,60
100,100,3943594,26520,42368,642,37,0,8,0,35552,15,0,0,30,104.527,21.4286,21,27.8594,64
100,100,4079580,26104,42748,673,46,0,11,0,43864,15,0,0,30,104.52,22.6111,18,27.901,101
100,100,3943594,26884,43464,686,61,0,10,0,39792,15,0,0,30,104.531,22.2381,21,27.8837,129
100,100,3943594,25740,42472,611,76,0,14,0,42128,15,0,0,30,104.427,21.2308,26,27.8542,144
100,100,3943594,26884,42584,657,77,1,13,0,60232,15,0,0,30,104.535,22.5,22,27.8782,156
100,100,4079580,25792,43228,596,4,0,0,0,0,0,0,0,0,0,0,0,28,12
100,100,3943594,27508,43032,696,15,0,2,0,6480,15,0,0,30,0,0,3,27.9667,30
100,100,3943594,26572,42304,643,23,0,5,0,14392,15,0,0,30,0,0,8,27.9333,30
100,100,4079580,26260,43600,650,33,0,5,0,23832,15,0,0,30,104.529,21.9167,12,27.9111,90
100,100,3943594,25896,42888,600,45,0,7,0,24376,15,0,0,30,104.523,21,14,27.8817,93
100,100,3943594,26208,42480,599,61,0,10,0,40080,15,0,0,30,104.526,22.15,20,27.8547,117
100,100,4079580,26468,42868,591,62,1,11,0,40856,15,0,0,30,104.512,22.1739,23,27.907,129
100,100,3943594,26728,43736,687,78,2,14,0,55984,15,0,0,30,104.516,22.4333,30,27.8642,162
100,100,3943594,25844,42560,610,91,0,14,0,49600,15,0,0,30,104.466,22.0625,32,27.8812,202
100,100,3943594,25844,42356,631,7,0,3,0,7144,15,0,0,30,104.338,20.6667,9,27.3333,6
100,100,4079580,26936,43392,666,22,0,4,0,11728,15,0,0,30,104.376,21.625,8,27.9178,73
100,100,3943594,26000,42788,613,31,1,5,0,19528,15,0,0,30,104.53,22,9,27.8906,64
100,100,3943594,25792,42352,599,44,0,7,0,29368,15,0,0,30,104.522,22.6154,13,27.8919,74
100,100,4079580,26208,43312,637,47,1,8,0,28128,15,0,0,30,104.51,21.75,12,27.7946,112
100,100,3943594,26988,43200,623,61,0,11,0,38808,15,0,0,30,104.503,21.8095,21,27.9426,122
100,100,3943594,25948,42544,598,77,1,11,0,41720,15,0,0,30,104.511,21.8182,22,27.8415,164
100,100,3943594,24544,42388,604,76,0,15,0,53192,15,0,0,30,104.479,21.6667,30,27.9085,153
100,100,4079580,25428,43112,588,3,0,2,0,3888,15,0,0,0,104.445,22.75,4,0,11
100,100,3943594,25792,43192,614,17,0,4,0,14272,15,0,0,30,0,0,5,27.9,30
100,100,3943594,24700,42360,580,30,0,5,0,18952,15,0,0,30,104.512,22.1667,12,27.9167,48
100,100,4079580,26208,43808,575,38,0,4,0,16992,15,0,0,30,104.527,22.1818,11,27.9118,102
100,100,3943594,25948,42460,602,46,0,11,0,39912,15,0,0,30,104.463,21.7407,27,27.8723,94
100,100,3943594,24960,42368,600,61,0,11,0,39816,15,0,0,30,104.464,22.16,25,27.8976,127
100,100,4079580,25220,42852,614,61,0,12,0,45568,15,0,0,30,104.526,21.68,25,27.9297,128
100,100,3943594,24596,43336,563,92,1,16,0,51200,15,0,0,30,104.429,21.3243,37,27.8927,177
100,100,3943594,25688,42360,670,0,0,1,0,1384,15,0,0,0,104.386,22,3,0,0
100,100,3943594,25064,42324,606,15,0,2,0,8272,15,0,0,30,104.518,22,5,27.7391,23
100,100,4079580,25324,43336,624,21,0,2,0,7888,15,0,0,30,104.531,22,4,27.9483,58
100,100,3943594,26052,42876,592,30,0,8,0,35648,15,0,0,30,104.54,22.3,20,27.9444,72
100,100,3943594,25740,42552,561,45,0,7,0,29128,15,0,0,30,104.528,22.2667,15,27.902,102
100,100,4079580,25740,43692,586,51,0,9,0,33768,15,0,0,30,104.524,21.4,15,27.872,125
100,100,3943594,25324,42752,571,72,0,11,0,41192,15,0,0,30,104.487,21.4167,24,27.8955,134
100,100,3943594,25636,42336,653,76,0,12,0,51120,15,0,0,30,0,0,14,27.8158,152
100,100,4079580,25428,42472,617,76,0,15,0,56072,15,0,0,30,104.513,22,31,27.8636,154
100,100,3943594,26260,43772,623,12,0,1,0,4136,15,0,0,30,0,0,1,27.7059,34
100,100,3943594,25948,42688,652,19,0,4,0,13728,15,0,0,30,104.51,21.3333,9,27.9333,30
100,100,3943594,25636,42496,661,30,0,8,0,19104,15,0,0,30,104.429,21.9333,15,27.9524,63
100,100,4079580,26572,43916,626,40,0,4,0,15520,15,0,0,30,104.524,21.4,10,27.87,100
100,100,3943594,24960,42604,587,62,0,9,0,32344,15,0,0,30,104.434,21.6471,17,27.9254,134
100,100,3943594,26416,42368,645,62,0,13,0,47208,15,0,0,30,104.492,21.931,29,27.6641,128
100,100,4079580,25012,43488,576,64,1,10,0,39760,15,0,0,30,104.523,21.45,20,27.8523,149
100,100,3943594,26364,42816,667,91,0,20,0,55728,15,0,0,30,104.436,21.8511,47,27.8653,193
100,100,3943594,27300,42352,680,10,0,4,0,7104,0,0,0,30,104.251,20.5,8,27.3333,6
100,100,4054742,25740,42364,628,15,0,2,0,8272,15,0,0,30,104.518,22,4,27.9,30
100,100,3968432,26000,43760,625,25,0,5,0,16648,15,0,0,30,104.501,21.4,10,27.931,58
100,100,3943594,26104,42640,640,45,1,6,0,22256,15,0,0,30,104.511,22,12,27.8025,81
100,100,3943594,25792,42356,684,46,0,10,0,29888,15,0,0,30,104.423,21.8947,19,27.9167,96
100,100,4079580,25376,43616,603,54,0,11,0,41048,15,0,0,30,104.515,21.9655,29,27.8983,118
100,100,3943594,26884,42780,642,77,1,14,0,50160,15,0,0,30,104.489,22.0435,23,27.8929,168
100,100,3943594,26000,42296,632,76,0,14,0,59440,15,0,0,30,104.527,22.0625,32,27.8941,170
100,100,4079580,26000,43152,626,0,0,0,0,0,15,0,0,0,0,0,0,28,15
100,100,3943594,26728,42968,609,16,0,2,0,8272,15,0,0,30,104.52,22,5,27.9355,31
100,100,3943594,26312,42392,644,29,0,6,0,21088,15,0,0,30,104.424,21,15,27.8571,42
100,100,3943594,25272,42400,649,30,0,5,0,16904,15,0,0,30,104.511,21.7778,9,27.9355,62
100,100,4079580,26208,43812,657,44,0,5,0,18120,15,0,0,30,104.513,22,9,27.8864,88
100,100,3943594,27716,42392,625,61,0,11,0,48312,15,0,0,30,104.524,22.4737,19,27.9084,131
100,100,3943594,25064,42552,600,64,2,10,0,32880,15,0,0,30,104.408,21.3889,18,27.8092,131
100,100,4079580,25220,43688,608,77,0,14,0,46160,15,0,0,30,104.487,21.75,28,27.9341,167
100,100,3943594,25844,42636,586,92,1,14,0,48912,15,0,0,30,104.513,21.0714,28,27.8432,185
100,100,3943594,25636,42396,606,15,0,2,0,8272,15,0,0,30,104.52,22,6,27.7143,21
100,100,4079580,26312,42820,634,15,0,3,0,11640,15,0,0,30,0,0,3,27.8462,39
100,100,3943594,25532,43500,609,28,0,4,0,16992,15,0,0,30,104.518,22.3333,9,27.85,60
100,100,3943594,25948,42412,613,45,0,6,0,23408,15,0,0,30,104.525,21.625,8,27.8617,94
100,100,3943594,25324,42500,644,45,0,8,0,26400,15,0,0,30,104.499,20.5,14,27.9348,92
100,100,4079580,25740,43876,631,65,0,9,0,36840,15,0,0,30,0,0,16,27.8723,141
100,100,3943594,26000,42620,579,78,2,9,0,38056,15,0,0,30,104.522,22.1111,18,27.8507,201
100,100,3943594,26052,42368,577,76,0,15,0,50376,15,0,0,30,104.465,21.7714,35,27.8258,155
100,100,4079580,26052,43464,617,2,0,0,0,0,15,0,0,0,0,0,0,28,22
100,100,3943594,26988,42928,656,21,0,5,0,18024,15,0,0,30,104.513,22.25,8,27.9355,31
100,100,3943594,24752,42332,563,30,0,4,0,16160,15,0,0,30,0,0,7,27.8276,58
100,100,4079580,25220,42612,601,30,0,6,0,23024,15,0,0,30,104.513,21.1538,13,27.9206,63
100,100,3943594,26052,43732,663,56,0,9,0,30760,15,0,0,30,104.519,20.4706,17,27.8932,103
100,100,3943594,25740,42388,578,61,0,10,0,39824,15,0,0,30,104.533,21.5909,22,27.9194,124
100,100,3943594,26520,42412,649,61,0,15,0,54936,15,0,0,30,104.492,22.2333,30,27.9,120
100,100,4079580,25844,43852,632,85,0,13,0,54664,15,0,0,30,104.533,21.76,25,27.8942,189
100,100,3943594,26260,42440,571,0,0,1,0,3752,15,0,0,0,104.538,22,3,0,0
100,100,3943594,25220,42404,579,16,0,4,0,13472,15,0,0,30,104.511,21.3333,6,27.5455,33
100,100,4079580,25948,42804,610,15,0,4,0,12352,15,0,0,30,104.518,20.5455,11,27.9474,38
100,100,3943594,26988,43380,604,37,0,5,0,20296,15,0,0,30,104.524,22,10,27.8986,69
100,100,3943594,26988,42308,606,45,0,6,0,27264,15,0,0,30,104.534,22,9,27.9352,108
100,100,3943594,26052,42548,574,45,0,7,0,28632,15,0,0,30,104.53,22.1579,19,27.8804,92
100,100,4079580,26156,43804,587,76,0,13,0,43624,15,0,0,30,104.496,21.8182,22,27.9281,153
100,100,3943594,26312,42292,652,76,0,14,0,58080,15,0,0,30,104.521,22.4074,27,27.8354,158
100,100,3943594,25532,42416,591,81,0,14,0,51536,15,0,0,30,104.498,21.8276,29,27.8758,153
