available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,1359860,16900,14752,478,32,0,10,0,56624,15,0,0,30,104.386,22.1818,22,27.7746,71
100,100,1312492,15808,13868,453,16,0,4,0,21552,15,0,0,30,104.454,22.25,8,27.7872,47
100,100,1271242,17264,14160,453,24,0,9,0,50072,15,0,0,30,104.498,22.1333,15,26.2545,55
100,100,1359860,17264,14772,429,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17576,14744,468,8,0,4,0,19376,15,0,0,30,104.541,22,11,27.6923,13
100,100,1339528,15496,14340,448,10,0,1,0,4136,15,0,0,30,0,0,1,27.8261,23
100,100,1244206,16224,13708,424,6,0,3,0,16264,15,0,0,0,104.543,23.2,5,27,6
100,100,1359860,17420,14740,447,16,0,4,0,20400,15,0,0,30,104.537,22.2857,7,27.7647,34
100,100,1359860,16432,14732,468,16,0,5,0,23512,15,0,0,30,104.538,22,13,27.7561,41
100,100,1359860,17212,14752,450,31,0,8,0,46960,15,0,0,30,104.47,22.5556,18,27.7612,67
100,100,1223874,16016,13264,408,16,0,4,0,21552,15,0,0,30,104.454,22.25,12,27.6364,33
100,100,1359860,17056,14780,478,33,0,8,0,40800,15,0,0,30,104.537,22.5,20,27.6923,65
100,100,1359860,17004,14760,494,0,0,1,0,4136,15,0,0,0,0,0,2,0,0
100,100,1359860,16588,14740,473,16,0,4,0,24256,15,0,0,30,104.546,22.9091,11,27.7647,34
100,100,1223874,15808,13304,390,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17628,14748,432,16,0,4,0,20400,15,0,0,30,104.537,22.5,12,27.875,32
100,100,1359860,17056,14748,466,16,0,4,0,19376,15,0,0,30,104.534,22,8,27.8125,32
100,100,1359860,17576,14784,462,34,0,8,0,45808,15,0,0,30,104.52,22.8125,16,27.2535,71
100,100,1312492,15288,13972,443,19,0,4,0,20400,15,0,0,30,104.541,22.5455,11,27.8298,47
100,100,1271242,17628,14076,525,32,0,8,0,41952,15,0,0,30,104.473,22.3333,15,27.6909,55
100,100,1359860,17472,14752,474,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17628,14756,446,16,0,4,0,21552,15,0,0,30,104.433,22.3333,9,27.8235,34
100,100,1339528,16172,14560,411,10,0,1,0,4136,15,0,0,30,104.54,22,3,27.8182,33
100,100,1244206,16796,13572,430,6,0,4,0,20400,15,0,0,30,104.54,22.75,8,27.6667,12
100,100,1359860,17680,14796,483,18,0,4,0,21552,15,0,0,30,103.859,22.3333,9,26.1111,36
100,100,1359860,17524,14764,445,20,0,6,0,32528,15,0,0,30,104.539,22.6667,15,27.75,32
100,100,1359860,16380,14752,417,32,0,7,0,37496,15,0,0,30,104.059,22.4444,18,27.7595,79
100,100,1223874,16120,13300,420,16,0,5,0,24536,15,0,0,30,104.535,22.3636,11,27.8,30
100,100,1359860,17472,14780,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,1359860,17004,14756,447,0,0,1,0,4136,15,0,0,0,0,0,2,0,0
100,100,1359860,16952,14780,420,16,0,3,0,16264,15,0,0,30,104.549,23.2,5,27.6571,35
100,100,1223874,16588,13292,483,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17888,14764,435,16,0,4,0,21552,15,0,0,30,0,0,5,27.875,32
100,100,1359860,16952,14756,435,16,0,4,0,19376,15,0,0,30,103.892,22,8,27.697,33
100,100,1359860,17472,14756,480,33,0,9,0,50072,15,0,0,30,104.472,22.2174,23,27.7424,66
100,100,1312492,15080,14248,417,20,0,4,0,20400,15,0,0,30,104.539,22.25,8,27.8182,55
100,100,1271242,16640,13800,432,32,0,8,0,41952,15,0,0,30,104.521,22.3889,18,27.7105,76
100,100,1359860,17108,14756,432,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17368,14764,527,17,0,4,0,20400,15,0,0,30,104.54,22.6,10,27.6471,34
100,100,1339528,15964,14536,450,10,0,1,0,4136,15,0,0,30,0,0,1,27.875,32
100,100,7969102,112708,87028,2921,16,0,4,0,19376,15,0,0,30,104.533,22,7,27.5882,34
100,100,1359860,16640,14784,465,15,0,4,0,19376,15,0,0,30,0,0,6,27.9062,32
100,100,1359860,16484,14772,447,28,0,7,0,34616,15,0,0,30,0,0,12,27.9302,43
100,100,1223874,15808,13364,421,17,0,10,0,25616,15,0,0,30,104.285,16.4091,22,27.8182,33
100,100,1359860,16432,14780,423,19,0,6,0,28672,15,0,0,30,104.526,22.4286,14,27.8,40
100,100,1359860,16484,14800,441,32,0,8,0,39776,15,0,0,30,104.528,22.1818,22,27.6712,73
100,100,1359860,17316,14824,489,6,0,2,0,8272,15,0,0,0,104.518,22,4,19,10
100,100,1223874,15340,13324,411,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17368,14776,459,0,0,1,0,4136,15,0,0,0,104.52,22,3,0,0
100,100,1359860,16952,14788,438,16,0,4,0,19376,15,0,0,30,104.527,22,12,27.6364,33
100,100,1359860,16484,14804,453,16,0,4,0,20400,15,0,0,30,104.53,22.6,10,27.8571,35
100,100,1312492,15600,14280,393,18,0,4,0,19376,15,0,0,30,104.527,22,8,27.7736,53
100,100,1271242,16900,13824,456,16,0,4,0,19376,15,0,0,30,0,0,7,27.8788,33
100,100,1359860,17004,14772,454,33,0,8,0,41952,15,0,0,30,104.507,22.3125,16,27.697,66
100,100,1359860,17212,14784,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,1312492,15652,14284,396,10,0,0,0,0,15,0,0,0,0,0,0,27.8,20
100,100,1271242,17108,13852,423,0,0,0,0,0,15,0,0,0,0,0,0,0,0
