available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,72,105309193,665313,1197640,18952,50,0,14,0,46656,13,0,0,40,40.3328,22,27,26.99,100,76,159920366,2280864,1722128,47544,107,1,17,0,137152,15,0,0,40,39.4114,22.625,32,27.9252,214
100,100,72,6673828,40796,82300,1356,95,0,20,0,77312,13,0,0,40,38.9673,21.8182,33,27.6789,190,76,13190642,180232,142284,3633,168,1,25,0,220824,15,0,0,40,39.9322,22.6098,41,27.8876,338
100,100,72,6683646,40416,75524,1308,145,1,28,0,115808,13,0,0,40,40.2432,22,53,27.5017,295,76,13190642,194376,142384,4046,277,0,42,0,398392,15,0,0,40,39.6121,22.622,82,27.877,553
100,100,72,6673828,40016,75044,1229,16,0,3,0,9656,13,0,0,40,0,0,5,27.6364,33,76,13326628,185068,143300,3820,25,0,2,0,14816,15,0,0,40,0,0,4,27.9412,34
100,100,72,5313498,30340,76432,755,10,10,0,0,0,0,0,0,0,0,0,0,26,18,81,27047366,403492,288096,8586,721,0,70,0,1210272,15,0,0,40,38.7607,22.9091,143,27.885,1435
100,100,72,7809810,49332,111292,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,33966228,509184,361692,10357,31,0,5,0,40808,15,0,0,40,0,0,6,28,58
100,100,72,5227954,31564,65624,778,4,3,0,0,0,0,0,0,0,0,0,0,0.166667,12,81,39466552,604872,419188,11527,145,0,12,0,224352,15,0,0,40,38.5654,22.9048,21,28,289
100,100,72,8225596,66776,118156,1409,30,0,7,0,23496,13,0,0,40,40.8227,21.4615,13,27.7742,62,81,30050584,438612,323004,8726,76,0,13,0,114432,15,0,0,40,39.9897,22.6667,27,27.8909,165
100,100,72,6663314,39676,73120,894,61,1,9,0,31880,13,0,0,40,40.9808,21.2222,18,27.8537,123,81,13190642,195572,142292,4112,110,0,18,0,161184,15,0,0,40,39.3705,22.6154,39,27.8947,209
100,100,72,6445576,36808,73888,847,208,8,30,0,108272,13,0,0,40,38.4663,21.6032,63,27.4143,420,81,13326628,192660,141924,4052,284,0,51,0,400992,15,0,0,40,39.6339,22.2946,112,27.9158,558
100,100,72,6907892,41888,76696,980,15,0,2,0,8272,13,0,0,40,0,0,3,27.8667,30,81,13190642,197756,142764,4278,30,0,4,0,33064,15,0,0,40,0,0,4,27.9167,60
100,100,72,6677918,39996,77544,928,30,0,7,0,23512,13,0,0,40,41.2107,21,15,27.9123,57,81,13326628,189072,143044,3970,73,0,10,0,79192,15,0,0,40,40.2516,22.5882,17,27.9392,148
100,100,72,6663314,38220,73448,867,60,0,7,0,26904,13,0,0,40,40.4821,20.9286,14,27.813,123,81,13326628,200460,141836,4175,95,0,17,0,147304,15,0,0,40,40.0163,22.5789,38,27.8777,188
100,100,72,6666762,39660,80708,880,66,1,10,0,29664,13,0,0,40,35.7429,21.0435,23,27.8649,148,81,13190642,184704,142716,3962,135,0,20,0,180352,15,0,0,40,39.6297,22.6486,37,27.8885,269
100,100,72,5553006,31792,69604,719,4,4,0,0,0,0,0,0,0,0,0,0,25,7,81,13326628,190112,143024,4030,177,0,26,0,214128,15,0,0,40,39.0206,22.5833,48,27.8829,350
100,100,72,7663778,47000,83488,1073,105,0,16,0,58560,13,0,0,40,40.4622,21.6389,36,27.8654,208,81,13326628,182728,141884,3855,195,0,32,0,257576,15,0,0,40,40.1014,22.625,64,27.9043,397
100,100,72,6673022,38340,73368,875,15,0,2,0,8272,13,0,0,40,40.5228,22,4,27.6757,37,81,13326628,197132,141536,4036,15,0,3,0,25856,15,0,0,40,39.9538,22.6667,9,27.9655,29
100,100,72,6677666,40688,86172,923,20,2,5,0,17864,13,0,0,40,38.988,21.1,10,26.2407,54,81,13190642,195936,143116,4294,61,0,8,0,70328,15,0,0,40,39.2843,22.6875,16,27.875,120
100,100,72,5170472,28704,66284,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,13326628,192764,143032,4013,88,0,14,0,127696,15,0,0,40,40.3131,22.6296,27,27.8611,180
100,100,72,8043144,50896,89764,1299,62,0,14,0,53792,13,0,0,40,40.9196,21.7692,26,27.7833,120,81,13190642,195364,141792,4149,121,1,23,0,176288,15,0,0,40,39.3762,22.6327,49,27.902,245
100,100,72,6677386,39640,79080,912,122,2,15,0,52536,13,0,0,40,36.838,21.2258,31,27.8912,239,81,13190642,193648,141580,4141,225,0,36,0,321680,15,0,0,40,39.7951,22.6429,70,27.8998,449
100,100,72,5579932,31892,63756,733,54,45,2,0,8272,13,0,0,40,40.7362,22,4,26.7379,103,81,13326628,196144,143004,4167,273,0,42,0,378688,15,0,0,40,38.2007,22.5658,76,27.6842,532
100,100,72,1846420,11400,26452,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,13326628,198588,142936,4192,6,0,1,0,16992,15,0,0,40,0,0,2,28,27
100,100,72,12443356,83160,149308,1834,15,0,4,0,14496,13,0,0,40,41.104,20.5,10,27.8571,28,81,13190642,201552,142220,4465,45,0,6,0,58200,15,0,0,40,39.5047,22.5,14,27.9,90
100,100,72,6666816,39348,84660,901,45,0,6,0,22768,13,0,0,40,40.1304,21.0769,13,27.8261,92,81,13326628,197808,143068,4241,78,0,13,0,111872,15,0,0,40,39.2204,22.5185,27,27.9184,147
100,100,72,6663314,38376,72948,886,60,0,8,0,26656,13,0,0,40,39.8235,21.1538,13,27.8583,120,81,13326628,195104,142740,4075,110,0,18,0,141144,15,0,0,40,40.3018,22.4848,33,27.8771,236
100,100,72,6568272,40400,84124,1014,105,0,16,0,55968,13,0,0,40,40.6496,21.4688,32,27.831,213,81,13326628,192712,142640,4062,213,0,33,0,302736,15,0,0,40,40.0442,22.6056,71,27.8907,439
100,100,72,6676416,40292,77956,932,273,3,39,0,153640,13,0,0,40,38.6723,21.6575,73,27.2564,546,81,13190642,193908,142220,4158,258,4,48,0,356688,15,0,0,40,39.5645,22.5189,106,27.89,500
100,100,72,6672326,39648,73864,927,150,0,22,0,73792,13,0,0,40,40.518,20.8409,44,27.8531,286,81,13326628,195156,142992,4098,285,0,43,0,354232,15,0,0,40,39.7543,22.6304,92,27.8825,570
100,100,72,6667568,40400,83216,938,15,0,3,0,11384,13,0,0,40,0,0,4,27.9333,30,81,13326628,186004,142420,4065,31,0,5,0,42720,15,0,0,40,0,0,8,27.8904,73
