available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,71,19853956,285740,215060,6189,99,0,17,0,136808,15,0,0,40,39.5122,22.6774,31,27.9086,197,73,19854762,286156,215756,5929,106,2,29,0,138048,15,0,0,40,36.3813,18.3036,56,27.8756,217
100,100,71,19989136,266188,214492,5731,29,1,4,0,30160,15,0,0,40,0,0,5,27.9167,60,77,19989136,284180,214640,5871,33,1,6,0,33104,15,0,0,40,39.7245,22.2,10,27.871,62
100,100,71,19854762,270348,214312,5909,82,0,19,0,92184,15,0,0,40,40.9243,22.3125,32,27.9333,165,77,19854762,273936,214924,5577,87,1,17,0,107528,15,0,0,40,39.542,22.2632,38,27.8908,174
100,100,71,19989136,265200,214332,5887,12,0,2,0,16352,15,0,0,40,39.8702,22.6,5,27.88,25,77,19853956,274092,214736,5590,15,0,2,0,11744,15,0,0,40,0,0,2,27.96,25
100,100,71,19854762,275288,214304,5943,64,0,11,0,73560,15,0,0,40,39.9039,22.48,25,27.9134,127,77,19989942,274144,214492,5561,67,0,14,0,83720,15,0,0,40,39.9669,22.0323,31,27.8444,135
100,100,71,19974922,280020,214664,6048,47,0,9,0,68488,15,0,0,40,38.8791,22.3333,12,27.9247,93,77,19989136,296920,214812,6108,48,0,12,0,60416,15,0,0,40,39.2805,21.375,32,27.8542,96
100,100,71,19862968,286156,213736,6124,98,0,16,0,115464,15,0,0,40,35.3235,21.8667,30,27.9274,179,77,14697018,218348,198156,4486,1,0,0,0,0,15,0,0,0,0,0,0,2,3
100,100,71,19989942,259428,215300,5702,30,0,7,0,32936,15,0,0,40,41.1962,22.4615,13,27.9531,64,77,19989136,309504,215620,6438,30,0,6,0,34320,15,0,0,40,0,0,10,27.6429,56
100,100,71,19989136,279188,216516,6172,11,1,2,0,14816,15,0,0,0,40.6484,20.75,4,27.8889,27,77,19989136,300560,215332,6291,14,0,3,0,14344,15,0,0,40,0,0,3,27.7619,21
100,100,71,19854762,285532,216596,6114,65,2,15,0,77720,15,0,0,40,40.5121,22.3333,33,27.8846,130,77,19854762,250484,214248,5228,68,1,11,0,34200,15,0,0,40,38.4854,21.5417,24,27.8571,133
100,100,71,19854762,280488,216640,6153,170,2,31,0,254952,15,0,0,40,40.147,22.6364,66,27.8801,342,77,19854762,120588,213492,2758,176,0,36,0,95688,15,0,0,40,38.1582,18.7206,68,27.8697,353
100,100,71,19989136,292292,216652,6223,220,6,46,0,291704,15,0,0,40,40.4913,22.0874,103,27.873,441,77,19861466,120432,214044,2764,238,2,35,0,116856,15,0,0,40,39.1368,21.8438,64,27.8064,470
100,100,71,19989942,278772,216272,6014,324,6,62,0,397200,15,0,0,40,40.4055,22.5566,106,27.8784,658,77,19853956,120328,213816,2759,347,2,57,0,186488,15,0,0,40,39.0834,21.7217,115,27.8289,678
100,100,71,19853956,275496,216624,5987,386,12,71,0,499800,15,0,0,40,40.3893,22.4348,138,27.8518,776,77,19989942,120952,213856,2762,397,1,67,0,218968,15,0,0,40,38.9469,21.6866,134,27.8804,786
100,100,71,19854762,263640,216068,5590,47,1,10,0,62784,15,0,0,40,39.7055,22.1053,19,27.8936,94,77,19989942,316264,215224,6294,49,0,8,0,66808,15,0,0,40,39.3787,22.7333,15,27.8163,98
100,100,71,19989136,273728,215704,5885,99,1,18,0,160632,15,0,0,40,39.8937,22.9118,34,27.8274,197,77,19853956,314808,214384,6326,105,0,19,0,120704,15,0,0,40,39.6524,22.25,48,27.8647,207
100,100,71,19854762,268372,216328,5761,152,3,25,0,165944,15,0,0,40,39.9053,22.5385,39,27.8816,304,77,19989136,315588,214308,6305,162,2,37,0,209208,15,0,0,40,39.2439,21.988,83,27.7438,324
100,100,71,19989136,270348,216588,5823,206,8,35,0,252792,15,0,0,40,39.8217,22.5517,58,27.8617,412,77,19854762,204880,213964,4410,214,0,38,0,118176,15,0,0,40,39.0004,21.7067,75,27.8178,428
100,100,71,19854762,274040,216044,6000,257,7,39,0,384552,15,0,0,40,40.0465,22.5733,75,27.908,511,77,19989942,219544,214224,4657,266,1,53,0,257608,15,0,0,40,39.2102,22,86,27.8475,531
100,100,71,19865972,261508,216064,5566,312,9,59,0,373608,15,0,0,40,40.4329,21.4569,116,27.8819,618,77,19853956,196456,214240,4154,326,2,61,0,442104,15,0,0,40,39.7587,22.656,125,27.8308,650
100,100,71,19977926,266032,217040,5768,366,8,61,0,503912,15,0,0,40,39.9414,22.5726,124,27.8743,732,77,19989136,322140,214016,6557,381,3,82,0,510488,15,0,0,40,39.4258,22.2256,164,27.8166,758
100,100,71,19853956,256932,216240,5685,416,8,71,0,510440,15,0,0,40,40.0104,22.3643,140,27.8971,826,77,19854762,215332,214020,4435,432,0,88,0,298352,15,0,0,40,38.7764,20.8298,188,27.8399,862
100,100,71,19989942,270816,216532,5674,30,1,7,0,32936,15,0,0,40,0,0,11,27.7869,61,77,19989136,320476,215356,6570,31,0,5,0,53008,15,0,0,40,0,0,6,27.7538,65
