available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,73,13326628,80236,147860,1907,7,0,0,0,0,0,0,0,0,0,0,0,27.8824,17,75,13326628,193492,143232,4569,7,0,1,0,4136,0,0,0,0,0,0,1,27.4,10
100,100,73,13972812,141264,155628,3398,95,0,24,0,104432,13,0,0,40,40.5777,21.9362,47,27.6911,191,75,13232002,184132,143944,4325,80,0,16,0,100136,15,0,0,40,39.6057,22.2727,33,27.8247,154
100,100,73,13391720,132744,149676,2982,115,0,17,0,59576,13,0,0,40,40.8024,21.7059,34,27.7991,234,75,13326628,183040,144240,4396,109,0,23,0,177072,15,0,0,40,39.6792,22.5,44,27.8565,216
100,100,73,13206414,82120,148844,2004,195,4,30,0,100592,13,0,0,40,40.8321,21.7049,61,27.7827,382,75,13223578,171680,144504,3925,189,0,44,0,207168,15,0,0,40,39.4592,21.7882,85,27.6962,372
100,100,73,13326628,78208,147536,1925,221,0,39,0,132008,13,0,0,40,40.3633,21.7397,73,27.8167,442,75,13337142,171392,144628,3891,213,0,41,0,280576,15,0,0,40,39.6944,22.5745,94,27.9113,417
100,100,73,13209472,80704,148436,1939,314,7,48,0,167648,13,0,0,40,41.0671,21.9149,94,27.7104,625,75,13190642,178724,142840,4263,280,0,66,0,413728,15,0,0,40,39.0703,21.0071,140,27.8945,550
100,100,73,13326628,79976,147300,1894,26,0,4,0,16160,13,0,0,40,41.1197,22,9,27.8269,52,75,13326628,177684,143976,4166,25,0,4,0,33448,15,0,0,40,39.9211,22.6,10,27.9474,57
100,100,73,13202658,93064,148420,2243,107,0,19,0,61784,13,0,0,40,40.4644,21.7179,39,27.8252,206,75,13190642,183040,143556,4302,96,0,20,0,129552,15,0,0,40,39.5126,22.2778,36,27.8777,188
100,100,73,13326628,80704,146776,2001,135,0,22,0,75632,13,0,0,40,40.383,21.7619,42,27.8059,273,75,13326628,185016,143416,4266,129,0,26,0,168440,15,0,0,40,39.2177,22.4423,52,27.9245,265
100,100,73,13198958,81276,146940,1985,21,0,4,0,18016,13,0,0,40,39.813,22.3,10,27.7188,32,76,13201156,187200,144152,4462,15,0,2,0,13280,15,0,0,40,40.9589,22.5,6,27.9355,31
