available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,4623524,30472,50560,711,102,0,14,0,55984,15,0,0,30,104.527,21.963,27,27.7512,205
100,100,4623524,30472,49476,705,8,0,0,0,0,0,0,0,0,0,0,0,28,11
100,100,4623524,31096,49616,714,16,0,3,0,9592,15,0,0,30,0,0,3,27.75,32
100,100,4623524,30108,49580,733,31,0,7,0,17464,15,0,0,30,104.295,21.1333,15,27.8308,65
100,100,4623524,30420,49556,755,30,0,10,0,33376,15,0,0,30,104.46,22.2857,21,27.9322,59
100,100,4759510,31720,50144,778,45,0,8,0,31936,15,0,0,30,104.531,22,20,27.8762,105
100,100,4623524,32188,50436,749,76,0,11,0,36712,15,0,0,30,104.454,21.5385,26,27.8562,153
100,100,4623524,33280,49528,739,77,0,15,0,50456,15,0,0,30,104.491,21.1471,34,27.8662,157
100,100,4623524,30524,49540,760,92,0,18,0,64496,15,0,0,30,104.303,21.8947,38,27.8432,185
100,100,4623524,30732,49576,749,101,0,19,0,63560,15,0,0,30,104.503,21.9778,45,27.8557,201
100,100,4759510,30004,50060,686,9,0,3,0,8680,15,0,0,30,104.438,21.6667,6,27.75,20
100,100,4623524,29432,49760,766,19,0,3,0,12408,15,0,0,30,104.54,20.1429,7,27.9574,47
100,100,4623524,33176,50312,739,46,0,7,0,28184,15,0,0,30,104.496,22,17,27.9294,85
100,100,4623524,31824,49532,757,45,0,10,0,38896,15,0,0,30,104.486,22.3333,24,27.9278,97
100,100,4623524,30576,49604,734,60,0,12,0,38704,15,0,0,30,104.451,21.8,25,27.876,121
100,100,4623524,29224,49560,719,69,0,13,0,45688,15,0,0,30,104.491,21.2593,27,27.176,125
100,100,4759510,31304,50156,727,77,0,16,0,59984,15,0,0,30,104.484,22.1333,30,27.8529,170
100,100,4623524,30212,50376,692,98,0,15,0,56728,15,0,0,30,104.471,21.9697,33,27.8995,209
100,100,4623524,28756,49316,681,7,0,2,0,4880,15,0,0,0,104.471,20.8,5,28,30
100,100,4623524,29692,49904,673,27,0,4,0,16160,15,0,0,30,104.506,22,8,27.7857,42
100,100,4623524,29692,49556,733,31,0,4,0,14496,15,0,0,30,104.394,20.2,10,27.9538,65
100,100,4759510,30576,49664,725,42,0,7,0,22776,15,0,0,30,104.488,22.1765,17,27.85,80
100,100,4623524,31148,50760,763,50,0,10,0,40736,15,0,0,30,104.512,21.7222,18,27.918,122
100,100,4623524,30212,49712,706,76,0,12,0,43312,15,0,0,30,104.463,21.8333,24,27.8642,162
100,100,4623524,29328,49532,706,84,0,14,0,51600,15,0,0,30,104.502,22.037,27,27.8193,166
100,100,4623524,29796,49564,795,92,0,19,0,75304,15,0,0,30,104.494,21.9512,41,27.8877,187
100,100,4623524,30732,49536,740,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,4759510,30836,50240,718,16,0,3,0,9656,15,0,0,30,0,0,5,27.6429,42
100,100,4623524,32292,49664,769,20,0,3,0,12024,15,0,0,30,104.529,22,6,27.8182,55
100,100,4623524,32292,50236,753,46,0,6,0,29712,15,0,0,30,104.188,22.2667,15,27.8761,113
100,100,4623524,29172,49572,678,56,0,8,0,29792,15,0,0,30,104.524,21.7895,19,27.8929,112
100,100,4623524,29692,49556,689,66,0,13,0,42888,15,0,0,30,104.499,22.1724,29,27.8852,122
100,100,4623524,30576,49552,692,77,0,13,0,46568,15,0,0,30,104.509,21.84,25,27.7834,157
100,100,4759510,29328,50496,684,80,0,17,0,55624,15,0,0,30,104.328,22.3548,31,27.8046,174
100,100,4623524,30316,50236,741,100,0,16,0,58944,15,0,0,30,104.512,21.325,40,27.8673,226
