available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,6583708,44408,71048,1080,147,0,30,0,96160,15,0,0,30,104.463,21.0462,65,27.8878,303,6527328,40924,71912,998,138,1,25,0,81720,15,0,0,30,104.428,21.6042,48,27.8486,284
100,100,6663314,45604,71208,1074,17,0,4,0,13472,15,0,0,30,104.465,20.8889,9,27.6129,31,6663314,43056,72276,1036,15,0,3,0,12152,15,0,0,30,0,0,5,27.9677,31
100,100,6663314,46020,70816,1133,35,0,6,0,24688,15,0,0,30,104.521,22.3846,13,27.7917,72,6663314,43420,71752,1106,33,0,6,0,22832,15,0,0,30,104.506,21.5714,14,27.8769,65
100,100,6663314,46852,70808,1126,51,0,11,0,41464,15,0,0,30,104.443,22.1304,23,27.7754,138,6663314,42640,71576,1060,52,0,9,0,32264,15,0,0,30,104.503,22.4091,22,27.9355,124
100,100,6662508,43732,70696,1007,67,0,11,0,44984,15,0,0,30,104.432,21.92,25,27.7786,140,6662508,42328,71040,1007,61,0,10,0,33680,15,0,0,30,104.488,21.5652,23,27.9362,188
100,100,6528134,44096,70896,1060,88,0,17,0,56792,15,0,0,30,104.268,21.6562,32,27.7167,180,6663314,41756,71624,1007,83,0,16,0,53936,15,0,0,30,104.502,21.4667,30,27.897,165
100,100,6663314,44772,71140,1066,105,0,17,0,53624,15,0,0,30,104.48,21.4839,31,27.8333,228,6528134,41080,71704,1000,102,0,16,0,51200,15,0,0,30,104.44,21.8966,29,27.9196,199
100,100,6663314,44564,71184,1070,124,0,23,0,79560,15,0,0,30,104.384,21.7234,47,27.8346,260,6663314,42640,71704,979,118,0,21,0,71448,15,0,0,30,104.423,21.2195,41,27.9012,243
100,100,6663314,46020,71156,1129,148,0,29,0,92104,15,0,0,30,104.426,21.7941,68,27.6889,315,6663314,43056,71924,1069,141,1,29,0,90680,15,0,0,30,104.472,21.75,56,27.8773,277
100,100,6663314,44772,70312,1074,8,0,3,0,11512,0,0,0,0,104.515,21.6667,6,28,10,6663314,42120,71424,1033,6,0,1,0,4136,0,0,0,0,0,0,2,28,23
100,100,6663096,42744,68568,1045,28,0,5,0,15864,15,0,0,30,104.442,21.6154,13,28,60,6662508,42848,70740,1071,31,0,5,0,15864,15,0,0,30,104.39,21.25,12,27.9516,62
100,100,6527384,51428,73044,1215,48,0,10,0,30304,15,0,0,30,104.47,21.6667,18,27.7959,98,6528134,42744,71424,1051,45,0,9,0,28680,15,0,0,30,0,0,12,27.8488,86
100,100,6663314,43576,71104,1037,78,0,13,0,42984,15,0,0,30,104.461,21.4828,29,27.8258,155,6663314,43212,71844,1086,65,1,11,0,39064,15,0,0,30,104.509,22.037,27,27.8889,153
100,100,6663314,43316,70396,1001,82,0,14,0,52496,15,0,0,30,104.513,21.8519,27,27.8352,182,6663314,41808,71508,1003,78,0,14,0,49776,15,0,0,30,104.503,21.871,31,27.9172,157
100,100,6662508,43628,70976,1008,97,0,18,0,55792,15,0,0,30,104.47,22.093,43,27.814,215,6663314,41080,72000,983,98,2,15,0,55144,15,0,0,30,104.46,21.9143,35,27.8581,296
100,100,6663314,44460,71136,999,122,0,22,0,70208,15,0,0,30,104.452,21.5385,52,27.8255,275,6662508,42640,71160,1035,113,0,24,0,72832,15,0,0,30,104.44,21.7037,54,27.8943,246
100,100,6664120,43888,70872,1054,140,0,25,0,86920,15,0,0,30,104.477,22.0526,57,27.8182,297,6664120,42952,71868,1014,131,0,24,0,92000,15,0,0,30,104.511,22.1064,47,27.9032,279
100,100,6527328,44720,70952,1092,4,0,1,0,4136,15,0,0,0,0,0,1,27.8333,12,6527328,42380,71188,1053,4,0,1,0,5160,15,0,0,0,104.563,20,3,27.75,8
100,100,6663314,44252,70884,1014,20,0,3,0,12408,15,0,0,30,104.521,22,7,27.8182,44,6663314,42068,72184,985,19,0,4,0,13152,15,0,0,30,0,0,5,27.9231,39
100,100,6663314,43732,71104,1056,39,0,8,0,38752,15,0,0,30,104.54,21.0667,15,27.8588,85,6663314,40352,71908,992,41,1,7,0,33112,15,0,0,30,104.534,22.4706,17,27.875,88
100,100,6663314,41704,69652,1009,48,0,6,0,25840,15,0,0,30,0,0,8,28,98,6662508,40716,70612,992,52,0,15,0,31784,15,0,0,30,104.372,18.2069,29,28,108
100,100,6662508,42016,69860,970,62,0,11,0,33480,15,0,0,30,104.426,21.7619,21,28,119,6664120,41288,71212,992,68,0,13,0,47048,15,0,0,30,104.511,21.3929,28,28,143
100,100,6662936,68724,72576,1481,95,0,14,0,53872,15,0,0,30,104.474,22.1429,28,27.7816,206,6662508,41912,72060,1025,91,1,15,0,54104,15,0,0,30,104.512,21.9118,34,27.8788,198
100,100,6528134,44772,71036,1049,117,0,25,0,76872,15,0,0,30,104.445,20.3529,51,27.4959,246,6528134,43264,71616,1073,113,1,26,0,76304,15,0,0,30,104.475,21.6531,49,27.8727,220
100,100,6663314,42016,71060,1006,141,0,29,0,98424,15,0,0,30,104.463,21.6731,52,27.8333,282,6663314,40664,71860,948,130,1,19,0,70968,15,0,0,30,104.505,22.0667,45,27.876,258
100,100,6486336,38616,65456,915,112,0,19,0,70680,15,0,0,30,104.48,21.0857,35,28,229,6663314,39572,69092,916,123,0,24,0,64864,15,0,0,30,104.455,21.6222,45,28,248
100,100,6838946,57492,75884,1282,18,0,2,0,6128,15,0,0,0,0,0,4,27.8889,36,6663314,42744,73800,1026,18,0,3,0,9656,15,0,0,0,104.501,22,5,27.9412,34
100,100,6664120,45292,70756,1050,32,0,7,0,25032,15,0,0,30,104.332,22.1875,16,27.9189,74,6663314,43264,71692,1035,34,1,5,0,16584,15,0,0,30,104.492,22.2143,14,27.9286,70
100,100,6662508,44408,70852,1058,48,0,11,0,43320,15,0,0,30,104.501,22.3793,29,27.7576,99,6663314,42484,71548,1019,46,0,8,0,31360,15,0,0,30,104.507,22.0556,18,27.883,94
100,100,6528134,43420,71140,1013,70,0,12,0,42560,15,0,0,30,104.506,21.7037,27,27.7248,149,6527328,42692,71616,985,67,0,10,0,36544,15,0,0,30,104.466,21.6,20,27.806,134
100,100,6663314,44096,70972,1084,86,0,20,0,60544,15,0,0,30,104.394,19.0833,36,27.9239,184,6663314,42172,71520,1054,86,2,14,0,44464,15,0,0,30,0,0,22,27.8506,174
100,100,6663314,43368,70764,1007,109,0,20,0,67456,15,0,0,30,104.488,22.1579,38,27.7679,237,6663314,41184,71844,1056,103,0,20,0,66000,15,0,0,30,104.433,21.7907,43,27.8972,214
100,100,6663314,42952,70728,997,126,0,24,0,76064,15,0,0,30,104.488,21.6604,53,27.8442,321,6663314,42016,71052,1018,116,0,19,0,69080,15,0,0,30,104.505,21.86,50,27.8947,247
100,100,6662508,43160,70940,1068,141,0,31,0,77528,15,0,0,30,104.385,19,74,27.8131,305,6662508,43888,71916,1021,137,1,24,0,82528,15,0,0,30,104.452,21.6607,56,27.888,366
100,100,6528134,44408,70928,1085,12,0,2,0,4544,15,0,0,0,0,0,2,27.5,16,6663314,43316,71548,997,9,0,2,0,6480,15,0,0,30,104.505,22,5,27.8667,15
100,100,6663314,44720,71176,1095,27,0,4,0,13152,15,0,0,30,0,0,5,27.8358,67,6528134,43108,71640,1049,29,0,4,0,14400,15,0,0,30,104.508,22.3,10,27.8704,54
100,100,6663314,44356,71160,1060,44,0,7,0,27192,15,0,0,30,104.375,22.125,16,27.6869,99,6663314,42380,71744,1055,43,0,6,0,23920,15,0,0,30,104.516,22.4444,9,27.8681,91
100,100,6663314,45916,70764,1107,66,0,13,0,49864,15,0,0,30,104.304,21.4333,30,27.7799,159,6663314,43056,72100,1005,62,0,12,0,43792,15,0,0,30,104.475,20.9643,28,27.8868,159
100,100,6662508,42692,70380,1017,77,0,15,0,43784,15,0,0,30,104.446,21.6923,39,27.8304,171,6662508,41028,70576,977,76,1,15,0,42552,15,0,0,30,104.47,22.0909,33,27.8247,154
100,100,6663314,43732,71224,1023,104,0,19,0,60584,15,0,0,30,104.408,20.8485,33,27.7762,210,6664120,41600,72060,986,95,1,17,0,60072,15,0,0,30,104.502,21.7576,33,27.8492,199
100,100,6527328,43732,70712,1012,116,0,21,0,64968,15,0,0,30,104.401,21.7619,42,27.8536,239,6531834,42068,71556,1012,110,0,23,0,70232,15,0,0,30,104.444,21.4889,45,27.8879,223
100,100,6664120,43472,71348,991,143,0,26,0,84512,15,0,0,30,104.465,21.8163,49,27.7636,275,6658808,42796,71628,966,138,1,30,0,85312,15,0,0,30,104.409,21.6207,58,27.9197,274
100,100,6663314,44564,71148,1104,6,0,1,0,4136,0,0,0,0,0,0,1,27.8095,21,6663314,42692,71972,1077,6,0,1,0,4136,0,0,0,30,0,0,2,27.7,10
100,100,6663314,45344,70932,1114,24,0,4,0,13184,15,0,0,30,104.468,21.7,10,27.942,69,6663314,44304,71964,1115,26,0,3,0,13880,15,0,0,30,0,0,5,27.9074,54
100,100,6663314,45084,70460,1076,38,0,9,0,31576,15,0,0,30,104.434,21.4211,19,27.7468,79,6663314,43732,71136,1110,35,1,7,0,25432,15,0,0,30,104.509,22,15,27.8539,89
