available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,27487196,206776,296084,4943,38,0,5,0,17288,15,0,0,30,0,0,10,27.8889,81
100,100,2647624,20124,28564,497,46,1,9,0,37624,15,0,0,30,104.53,21.0526,19,27.837,92
100,100,2719720,20124,29280,497,61,0,12,0,38976,15,0,0,30,104.486,22.2609,23,27.6613,124
100,100,2583734,19500,27796,488,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,2719720,18044,29280,446,16,1,2,0,7248,15,0,0,30,104.531,20.2,5,27.7273,44
100,100,2583734,17160,27744,400,15,0,2,0,7888,15,0,0,30,0,0,4,27.9333,30
100,100,2719720,18096,29200,437,30,0,5,0,16568,15,0,0,30,104.46,21.75,8,27.8806,67
100,100,2583734,18720,27744,435,30,0,5,0,28200,15,0,0,30,104.539,22.0833,12,27.8333,60
100,100,2719720,19708,29256,477,46,1,9,0,37256,15,0,0,30,104.521,21.9412,17,27.8511,94
100,100,2583734,17264,27752,412,45,0,9,0,28424,15,0,0,30,104.495,22.1818,22,27.8242,91
100,100,2719720,17940,29232,427,60,0,13,0,50344,15,0,0,30,104.524,22,25,27.8889,126
100,100,2719720,16900,27996,408,0,0,0,0,0,15,0,0,0,0,0,0,0,3
100,100,2583734,18772,29060,446,15,0,3,0,15240,15,0,0,30,104.535,22,6,27.9412,34
100,100,2667846,17472,28624,435,18,0,2,0,7888,15,0,0,30,0,0,4,27.94,50
100,100,2635608,19760,28308,474,30,0,5,0,23512,15,0,0,30,104.545,20.8889,9,27.8833,60
100,100,2719720,17212,28880,398,40,0,6,0,20400,15,0,0,30,104.511,21.1111,9,27.8649,74
100,100,2583734,17680,28224,412,42,0,8,0,26592,15,0,0,30,104.504,22.1667,18,27.8395,81
100,100,2719720,16484,29284,404,45,0,10,0,34880,15,0,0,30,104.489,22.1429,21,27.8804,92
100,100,2583734,17316,27756,402,45,0,8,0,31552,15,0,0,30,104.526,22,20,27.9451,91
100,100,2719720,17108,29200,444,7,0,2,0,7248,0,0,0,30,104.528,20.8,5,0,0
100,100,2583734,16848,27792,368,1,0,1,0,3752,15,0,0,0,0,0,2,0,0
100,100,2719720,17420,29180,385,17,0,3,0,12408,15,0,0,30,104.52,22,8,27.8,30
100,100,2583734,16328,27792,389,15,0,4,0,11136,15,0,0,30,104.433,22,8,27.8065,31
100,100,2719720,18304,29216,475,30,0,8,0,24192,15,0,0,30,104.489,21.5,16,27.8966,58
100,100,2583734,16744,27756,415,30,0,6,0,22608,15,0,0,30,104.506,22.1818,11,27.8871,62
100,100,2719720,18096,29224,439,45,0,8,0,27648,15,0,0,30,104.505,20.9412,17,27.8478,92
100,100,2583734,16536,27760,384,45,0,10,0,31904,15,0,0,30,104.476,21.65,20,27.9333,90
100,100,2719720,19292,29328,446,60,0,10,0,37232,15,0,0,30,104.526,21.6818,22,27.854,137
100,100,2719720,17264,28476,400,0,0,0,0,0,15,0,0,0,0,0,0,28,15
100,100,2583734,17836,28500,450,15,0,2,0,7888,15,0,0,30,104.529,22,5,27.8,30
100,100,2719720,17888,28852,409,20,0,2,0,7888,15,0,0,30,0,0,4,27.9444,54
100,100,2583734,17992,28204,440,30,0,4,0,16160,15,0,0,30,0,0,5,27.9344,61
