available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,70,112280497,692946,1204396,14605,406,0,44,0,197504,15,0,0,40,36.5683,21.9388,98,27.7958,803
100,100,70,33180584,199524,356692,4104,493,0,60,0,248096,15,0,0,40,36.3095,21.6569,102,27.8541,994
100,100,70,33181390,198276,356772,4158,580,1,64,0,289824,15,0,0,40,36.6093,21.8952,124,27.8418,1163
100,100,70,33179778,199056,356732,4153,666,1,77,0,341784,15,0,0,40,36.6607,21.956,159,27.8252,1339
100,100,70,33181390,196924,356156,4097,199,0,23,0,96584,15,0,0,40,36.6789,21.5676,37,27.8159,402
100,100,70,33267700,195780,356168,4080,288,0,30,0,139248,15,0,0,40,36.7636,22.1562,64,27.8579,577
100,100,70,33229344,196040,356428,4024,375,0,40,0,180752,15,0,0,40,36.7253,21.9726,73,27.8803,727
100,100,70,33180694,195364,356252,4081,456,0,66,0,238728,15,0,0,40,35.9959,20.4242,132,27.8856,909
100,100,70,33180584,197028,356528,4096,544,0,69,0,264648,15,0,0,40,36.1261,21,119,27.8707,1098
100,100,70,33179778,196612,356348,4037,631,0,75,0,326968,15,0,0,40,36.7788,21.9745,157,27.8846,1274
100,100,70,33181390,195624,356384,4122,724,0,102,0,372056,15,0,0,40,36.1486,20.7832,226,27.8954,1415
100,100,70,33180584,196196,356132,4095,82,0,9,0,42488,15,0,0,40,37.2244,22.1818,11,27.9182,159
100,100,70,33296238,197392,356400,4144,171,0,17,0,81528,15,0,0,40,36.9362,22.3548,31,27.9085,328
100,100,70,33200110,197652,356388,4116,261,0,36,0,128480,15,0,0,40,36.302,21.4687,64,27.8597,506
100,100,70,33181280,196352,356344,4097,341,0,43,0,159832,15,0,0,40,36.2172,21.3421,76,27.8454,692
100,100,70,33179888,197288,356512,4105,434,0,74,0,228128,15,0,0,40,35.296,19.3167,120,27.8348,884
100,100,70,33180422,219804,356416,4781,518,0,56,0,256480,15,0,0,40,36.8837,22.0882,102,27.8789,1016
100,100,70,33180584,195520,356292,4053,608,0,87,0,323632,15,0,0,40,35.9941,20.0938,192,27.8416,1225
100,100,70,33181390,196092,356000,4038,695,0,81,0,342392,15,0,0,40,36.5994,21.8037,163,27.8745,1402
100,100,70,33188094,226408,356128,4622,138,0,14,0,153448,15,0,0,40,36.8791,22.8387,31,27.9022,276
100,100,70,33180584,302588,356188,6149,225,0,25,0,240704,15,0,0,40,37.1625,22.3091,55,27.8764,461
100,100,70,33181390,450528,356052,8973,313,0,35,0,287480,15,0,0,40,37.104,22.5616,73,27.8567,628
100,100,70,33180584,195364,356436,4143,404,0,71,0,212920,15,0,0,40,35.0689,17.9237,118,27.8472,831
100,100,70,33180584,195260,356372,4118,487,0,67,0,245976,15,0,0,40,36.0482,20.6912,136,27.9179,950
100,100,70,33179778,344240,356072,6955,573,0,65,0,719144,15,0,0,40,37.3063,22.9298,114,27.871,1147
100,100,70,33181390,247000,355992,5145,669,0,88,0,341080,15,0,0,40,36.0156,20.6398,186,27.8358,1346
100,100,70,33180584,219492,356308,4577,107,0,11,0,137016,15,0,0,40,36.8159,23,20,27.9273,220
100,100,70,33181390,242008,356204,4972,194,0,22,0,242072,15,0,0,40,37.4725,22.8723,47,27.8844,398
100,100,70,33179778,402792,356332,7978,283,0,34,0,139184,15,0,0,40,36.2373,21.8429,70,27.9073,561
100,100,70,33180584,195728,356424,4212,371,0,54,0,197272,15,0,0,40,35.9447,19.4828,116,27.8989,732
100,100,70,33181390,440544,355924,8864,460,0,55,0,583976,15,0,0,40,37.1999,22.6727,110,27.8849,921
100,100,70,33179778,449228,355828,8947,540,0,60,0,676320,15,0,0,40,37.1831,22.7769,121,27.9128,1090
100,100,70,33316570,458536,356164,9168,632,0,73,0,787864,15,0,0,40,37.2974,22.7943,141,27.9098,1231
100,100,70,33181390,458588,356168,9030,713,0,77,0,859664,15,0,0,40,37.3521,22.8462,156,27.8892,1435
100,100,70,33180584,458952,356064,9066,77,0,8,0,89496,15,0,0,40,37.1434,22.9412,17,27.9618,157
100,100,70,33179778,460200,356084,9125,166,0,17,0,200968,15,0,0,40,37.1403,22.9091,33,27.908,326
100,100,70,33180584,357396,356372,7109,254,0,26,0,310144,15,0,0,40,37.2504,22.9434,53,27.8777,515
100,100,70,33181390,459368,355916,9195,341,0,39,0,435600,15,0,0,40,37.5585,22.9231,78,27.9043,690
100,100,70,33180584,459264,355872,9237,434,0,54,0,539504,15,0,0,40,37.1673,22.5138,109,27.8553,871
100,100,70,33315764,388700,356120,7740,512,0,53,0,590792,15,0,0,40,37.1202,22.8598,107,27.9286,1022
100,100,70,33180584,197704,356208,4007,600,0,73,0,297928,15,0,0,40,36.4258,21.7714,140,27.9162,1170
100,100,70,33180584,197132,356244,4160,688,0,91,0,357568,15,0,0,40,36.2117,20.6519,181,27.8674,1395
100,100,70,33180584,197132,356352,4106,140,0,18,0,67664,15,0,0,40,36.134,21.0476,42,27.8926,270
100,100,70,33180584,196768,356196,4192,226,0,27,0,111448,15,0,0,40,36.3988,22.0943,53,27.867,466
100,100,70,33180584,195312,356064,4107,314,0,38,0,155920,15,0,0,40,36.3896,21.8235,85,27.9153,614
100,100,70,33315764,196248,356276,4133,405,0,43,0,194632,15,0,0,40,36.7944,22.0366,82,27.8811,782
100,100,70,33180584,196196,356376,4176,487,0,70,0,250600,15,0,0,40,35.9615,20.1476,149,27.8716,981
100,100,70,33180584,196092,356304,4081,575,0,70,0,289168,15,0,0,40,36.7973,21.5809,136,27.8598,1163
100,100,70,33180584,196456,356448,4143,662,0,86,0,330456,15,0,0,40,36.0127,20.6524,187,27.886,1316
100,100,70,33180584,197028,356032,4030,198,0,21,0,92424,15,0,0,40,36.4634,22.1163,43,27.8724,392
100,100,70,33315764,197496,356340,4058,289,0,30,0,136704,15,0,0,40,36.6436,21.8788,66,27.8811,572
100,100,70,33180584,199108,356304,4149,372,0,50,0,178760,15,0,0,40,35.9276,19.1974,76,27.8856,743
100,100,70,33180584,196924,356344,4121,457,0,63,0,240528,15,0,0,40,35.9244,20.2683,123,27.8954,899
