available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,55024884,407492,596036,9674,78,0,10,0,38768,15,0,0,30,104.521,22.1765,17,27.3734,158
100,100,5303454,35776,57044,804,93,1,16,0,56592,15,0,0,30,104.449,22,35,27.8523,176
100,100,5303454,37804,56908,851,95,0,18,0,69424,15,0,0,30,88.8606,22.2571,35,27.9409,186
100,100,5303454,36400,57152,903,109,1,16,0,65920,15,0,0,30,104.507,22.1389,36,27.6178,225
100,100,5303454,36504,57180,829,13,0,2,0,7888,15,0,0,30,104.521,22,5,27.8947,19
100,100,4548314,28288,59624,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,6062414,45276,64916,1026,30,0,7,0,34424,15,0,0,30,104.532,21.5333,15,27.95,60
100,100,5303454,37700,56912,935,46,0,10,0,34752,15,0,0,30,104.477,21.5455,22,27.8381,105
100,100,5303454,35152,56976,924,61,0,12,0,50384,15,0,0,30,104.336,21.6552,29,27.8855,131
100,100,5439440,36400,57428,900,79,1,15,0,53720,15,0,0,30,104.471,22.1,30,27.9024,164
100,100,5303454,35880,57364,870,93,1,15,0,59000,15,0,0,30,104.484,22,33,27.7632,190
100,100,5303454,34788,57432,831,105,1,21,0,68184,15,0,0,30,104.368,21.7736,53,27.8884,242
100,100,5303454,36608,56912,862,4,0,0,0,0,0,0,0,0,0,0,0,28,20
100,100,5303454,37336,56864,893,19,0,4,0,12352,15,0,0,30,67.701,19.875,8,25.8,40
100,100,5303454,35672,57132,869,27,0,5,0,15912,15,0,0,30,104.493,22.2222,9,27.9815,54
100,100,5303454,36608,57172,883,45,0,9,0,41928,15,0,0,30,104.532,21.65,20,27.8925,93
100,100,5303454,37856,57008,860,60,1,12,0,44960,15,0,0,30,104.515,21.4545,22,27.8468,124
100,100,5303454,34528,56976,850,78,1,13,0,49704,15,0,0,30,104.461,21.8889,27,27.9241,158
100,100,5303454,36868,57128,876,93,1,22,0,62600,15,0,0,30,104.333,17.3571,42,27.8457,188
100,100,3073496,18616,44488,458,2,2,0,0,0,0,0,0,0,0,0,0,26,6
100,100,7537178,57848,80852,1316,125,5,27,0,81704,15,0,0,30,104.437,21.7069,58,27.8651,252
100,100,5303454,36504,57060,847,16,0,3,0,7144,15,0,0,30,104.318,20.75,8,27.75,32
100,100,5303454,36140,57004,835,30,0,5,0,15416,15,0,0,30,104.409,21.4,10,27.9167,48
100,100,5303454,36608,56952,918,35,0,8,0,31936,15,0,0,30,104.515,21.8125,16,27.9167,60
100,100,5303454,34892,56916,881,45,0,10,0,32432,15,0,0,30,104.405,21.7826,23,27.9457,92
100,100,5439440,36348,57184,922,63,0,15,0,58456,15,0,0,30,104.503,22.0857,35,27.8615,130
100,100,5303454,36868,57172,864,78,1,17,0,54280,15,0,0,30,104.443,21.6571,35,27.9162,191
100,100,5303454,34684,57336,862,97,0,22,0,69072,15,0,0,30,91.3051,22.1304,46,27.5899,217
100,100,5303454,35412,56948,831,111,0,16,0,60416,15,0,0,30,104.51,21.3548,31,27.8866,238
100,100,5303454,36140,57768,946,7,0,2,0,6000,15,0,0,0,104.501,21.4,5,28,32
100,100,5303454,35672,56224,877,18,0,3,0,11384,15,0,0,30,104.529,20.2,5,27.8605,43
100,100,5303454,36972,57600,880,40,1,5,0,18952,15,0,0,30,0,0,8,27.8824,85
