available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,73,19854762,286156,215756,5929,106,2,29,0,138048,15,0,0,40,36.3813,18.3036,56,27.8756,217
100,100,77,19989136,284180,214640,5871,33,1,6,0,33104,15,0,0,40,39.7245,22.2,10,27.871,62
100,100,77,19854762,273936,214924,5577,87,1,17,0,107528,15,0,0,40,39.542,22.2632,38,27.8908,174
100,100,77,19989942,274144,214492,5561,67,0,14,0,83720,15,0,0,40,39.9669,22.0323,31,27.8444,135
100,100,77,19989136,296920,214812,6108,48,0,12,0,60416,15,0,0,40,39.2805,21.375,32,27.8542,96
100,100,77,19854762,250484,214248,5228,68,1,11,0,34200,15,0,0,40,38.4854,21.5417,24,27.8571,133
100,100,77,19854762,120588,213492,2758,176,0,36,0,95688,15,0,0,40,38.1582,18.7206,68,27.8697,353
100,100,77,19861466,120432,214044,2764,238,2,35,0,116856,15,0,0,40,39.1368,21.8438,64,27.8064,470
100,100,77,19853956,120328,213816,2759,347,2,57,0,186488,15,0,0,40,39.0834,21.7217,115,27.8289,678
100,100,77,19989942,120952,213856,2762,397,1,67,0,218968,15,0,0,40,38.9469,21.6866,134,27.8804,786
100,100,77,19989942,316264,215224,6294,49,0,8,0,66808,15,0,0,40,39.3787,22.7333,15,27.8163,98
100,100,77,19853956,314808,214384,6326,105,0,19,0,120704,15,0,0,40,39.6524,22.25,48,27.8647,207
100,100,77,19989136,315588,214308,6305,162,2,37,0,209208,15,0,0,40,39.2439,21.988,83,27.7438,324
100,100,77,19854762,204880,213964,4410,214,0,38,0,118176,15,0,0,40,39.0004,21.7067,75,27.8178,428
100,100,77,19989942,219544,214224,4657,266,1,53,0,257608,15,0,0,40,39.2102,22,86,27.8475,531
100,100,77,19853956,196456,214240,4154,326,2,61,0,442104,15,0,0,40,39.7587,22.656,125,27.8308,650
100,100,77,19989136,322140,214016,6557,381,3,82,0,510488,15,0,0,40,39.4258,22.2256,164,27.8166,758
100,100,77,19854762,215332,214020,4435,432,0,88,0,298352,15,0,0,40,38.7764,20.8298,188,27.8399,862
