available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,73,13972812,141264,155628,3398,95,0,24,0,104432,13,0,0,40,40.5777,21.9362,47,27.6911,191
100,100,73,13391720,132744,149676,2982,115,0,17,0,59576,13,0,0,40,40.8024,21.7059,34,27.7991,234
100,100,73,13206414,82120,148844,2004,195,4,30,0,100592,13,0,0,40,40.8321,21.7049,61,27.7827,382
100,100,73,13326628,78208,147536,1925,221,0,39,0,132008,13,0,0,40,40.3633,21.7397,73,27.8167,442
100,100,73,13209472,80704,148436,1939,314,7,48,0,167648,13,0,0,40,41.0671,21.9149,94,27.7104,625
100,100,73,13326628,79976,147300,1894,26,0,4,0,16160,13,0,0,40,41.1197,22,9,27.8269,52
100,100,73,13202658,93064,148420,2243,107,0,19,0,61784,13,0,0,40,40.4644,21.7179,39,27.8252,206
100,100,73,13326628,80704,146776,2001,135,0,22,0,75632,13,0,0,40,40.383,21.7619,42,27.8059,273
100,100,73,13198958,81276,146940,1985,21,0,4,0,18016,13,0,0,40,39.813,22.3,10,27.7188,32
100,100,73,13337142,81144,146136,2014,53,0,10,0,30000,13,0,0,40,39.5205,21.6471,17,27.7368,114
100,100,73,13317616,169676,147444,3848,127,0,28,0,165768,13,0,0,40,40.4355,22.2069,58,27.8008,256
100,100,73,13326628,109720,146432,2610,154,0,28,0,93296,13,0,0,40,40.6894,21.7037,54,27.7873,315
100,100,73,13326628,79456,147348,1966,264,0,46,0,152064,13,0,0,40,40.3912,21.913,92,27.8041,536
100,100,73,13190642,95368,147252,2281,32,0,4,0,14400,13,0,0,40,41.0676,22.3,10,27.7778,63
100,100,73,13326628,80028,146172,1950,66,0,11,0,34680,13,0,0,40,40.3542,21.7037,27,27.8043,138
100,100,73,13326628,79872,145832,1973,174,0,31,0,103736,13,0,0,40,40.6641,21.6111,72,27.8121,346
100,100,73,13190642,80132,147480,1977,58,0,9,0,31720,13,0,0,40,41.0486,22.1429,14,27.783,106
100,100,73,13326628,80236,146364,1963,87,0,17,0,52888,13,0,0,40,40.1398,21.5429,35,27.8212,179
100,100,73,13191448,190112,146964,4210,278,3,59,0,358208,13,0,0,40,40.1982,22.3964,111,27.8062,552
100,100,73,13199654,79820,146080,2001,41,0,9,0,27992,13,0,0,40,41.1773,21.8947,19,27.7564,78
100,100,73,13317616,80548,147192,2012,79,0,14,0,49712,13,0,0,40,40.4685,22.3077,26,27.7975,163
100,100,73,13326628,80444,146076,1961,116,0,21,0,66696,13,0,0,40,40.3588,21.5116,43,27.8139,231
100,100,73,13326628,82836,147564,2066,190,1,34,0,145048,13,0,0,40,39.816,22.0159,63,27.8177,384
100,100,73,13326628,173472,145824,3911,225,0,38,0,128384,13,0,0,40,40.2037,21.8611,72,27.7902,448
100,100,73,13326628,79924,145768,1964,300,0,53,0,169848,13,0,0,40,40.2819,21.7212,104,27.8033,605
100,100,73,13331940,80732,145580,2031,28,0,6,0,19088,13,0,0,40,41.405,22.0714,14,27.75,52
100,100,73,13190642,169780,147192,3794,64,0,15,0,99144,13,0,0,40,40.4226,22.4,35,27.7597,129
100,100,73,13326628,189488,144860,4221,139,0,31,0,199376,13,0,0,40,39.5661,22.3492,63,27.7692,273
100,100,73,13326628,191256,146656,4240,48,0,12,0,86584,13,0,0,40,39.7342,22.6154,26,27.84,100
100,100,73,13330438,189112,145624,4228,232,0,63,0,322104,13,0,0,40,40.2095,20.5746,134,27.8038,469
